# zlow zmid zhigh nz_boss nz_eboss  nz_cmass_in_eboss  nz_qso
0.5000 0.5250 0.5500 234626      0      0      0
0.5500 0.5750 0.6000 193417      0      0      0
0.6000 0.6250 0.6500 122687  40843  27386      0
0.6500 0.6750 0.7000  61600  28999  13113      0
0.7000 0.7250 0.7500  25313  21321   5264      0
0.7500 0.7750 0.8000      0  16303   1631      0
0.8000 0.8250 0.8500      0  11313    384   3236
0.8500 0.8750 0.9000      0   6814    115   3855
0.9000 0.9250 0.9500      0   3712     51   4268
0.9500 0.9750 1.0000      0   1810     37   4583
1.0000 1.0250 1.0500      0      0      0   4797
1.0500 1.0750 1.1000      0      0      0   5071
1.1000 1.1250 1.1500      0      0      0   5562
1.1500 1.1750 1.2000      0      0      0   5754
1.2000 1.2250 1.2500      0      0      0   6449
1.2500 1.2750 1.3000      0      0      0   6322
1.3000 1.3250 1.3500      0      0      0   6757
1.3500 1.3750 1.4000      0      0      0   6694
1.4000 1.4250 1.4500      0      0      0   6516
1.4500 1.4750 1.5000      0      0      0   6632
1.5000 1.5250 1.5500      0      0      0   6465
1.5500 1.5750 1.6000      0      0      0   6317
1.6000 1.6250 1.6500      0      0      0   6556
1.6500 1.6750 1.7000      0      0      0   6757
1.7000 1.7250 1.7500      0      0      0   6703
1.7500 1.7750 1.8000      0      0      0   6685
1.8000 1.8250 1.8500      0      0      0   6194
1.8500 1.8750 1.9000      0      0      0   5931
1.9000 1.9250 1.9500      0      0      0   5853
1.9500 1.9750 2.0000      0      0      0   5631
2.0000 2.0250 2.0500      0      0      0   5393
2.0500 2.0750 2.1000      0      0      0   5051
2.1000 2.1250 2.1500      0      0      0   4590
2.1500 2.1750 2.2000      0      0      0   4182
