# These are derived potentials within the Sun from the BP2000 solar
# model. These are calculated by Joakim Edsjo, edsjo@physto.se
# Date: 2003-11-26
#
#R/R_sun        Phi
 0.00000000E+00 -.95694755E+12
 0.65000000E-02 -.95588078E+12
 0.66100000E-02 -.95585994E+12
 0.67100000E-02 -.95585377E+12
 0.68100000E-02 -.95584395E+12
 0.69200000E-02 -.95582883E+12
 0.70200000E-02 -.95582129E+12
 0.71300000E-02 -.95580566E+12
 0.72400000E-02 -.95578776E+12
 0.73500000E-02 -.95577496E+12
 0.74700000E-02 -.95574986E+12
 0.75800000E-02 -.95573223E+12
 0.77000000E-02 -.95570720E+12
 0.78200000E-02 -.95568784E+12
 0.79400000E-02 -.95567176E+12
 0.80700000E-02 -.95564963E+12
 0.81900000E-02 -.95563073E+12
 0.83200000E-02 -.95560463E+12
 0.84500000E-02 -.95558042E+12
 0.85800000E-02 -.95555820E+12
 0.87100000E-02 -.95553792E+12
 0.88400000E-02 -.95551772E+12
 0.89800000E-02 -.95548628E+12
 0.91200000E-02 -.95545550E+12
 0.92600000E-02 -.95543528E+12
 0.94100000E-02 -.95540428E+12
 0.95500000E-02 -.95538221E+12
 0.97000000E-02 -.95534795E+12
 0.98500000E-02 -.95531750E+12
 0.10000000E-01 -.95529034E+12
 0.10160000E-01 -.95525442E+12
 0.10320000E-01 -.95521749E+12
 0.10480000E-01 -.95517746E+12
 0.10640000E-01 -.95514339E+12
 0.10800000E-01 -.95511070E+12
 0.10970000E-01 -.95507007E+12
 0.11140000E-01 -.95502606E+12
 0.11310000E-01 -.95499316E+12
 0.11490000E-01 -.95495712E+12
 0.11670000E-01 -.95491754E+12
 0.11850000E-01 -.95487580E+12
 0.12030000E-01 -.95483471E+12
 0.12220000E-01 -.95478569E+12
 0.12410000E-01 -.95473347E+12
 0.12600000E-01 -.95467803E+12
 0.12800000E-01 -.95462823E+12
 0.13000000E-01 -.95457786E+12
 0.13200000E-01 -.95452277E+12
 0.13410000E-01 -.95445938E+12
 0.13620000E-01 -.95440374E+12
 0.13830000E-01 -.95434619E+12
 0.14040000E-01 -.95428716E+12
 0.14260000E-01 -.95422427E+12
 0.14480000E-01 -.95416106E+12
 0.14710000E-01 -.95408395E+12
 0.14940000E-01 -.95401164E+12
 0.15170000E-01 -.95394923E+12
 0.15410000E-01 -.95387213E+12
 0.15650000E-01 -.95379150E+12
 0.15890000E-01 -.95372228E+12
 0.16140000E-01 -.95363855E+12
 0.16390000E-01 -.95355284E+12
 0.16650000E-01 -.95346296E+12
 0.16910000E-01 -.95336860E+12
 0.17170000E-01 -.95327247E+12
 0.17440000E-01 -.95317643E+12
 0.17710000E-01 -.95307858E+12
 0.17990000E-01 -.95297350E+12
 0.18270000E-01 -.95287920E+12
 0.18550000E-01 -.95278459E+12
 0.18840000E-01 -.95267627E+12
 0.19140000E-01 -.95256233E+12
 0.19440000E-01 -.95244177E+12
 0.19740000E-01 -.95231767E+12
 0.20050000E-01 -.95219291E+12
 0.20360000E-01 -.95206375E+12
 0.20680000E-01 -.95192859E+12
 0.21010000E-01 -.95179490E+12
 0.21340000E-01 -.95165346E+12
 0.21670000E-01 -.95151300E+12
 0.22010000E-01 -.95135948E+12
