#......tp...... ...t_diff....
 0.10000000E-01 0.11448273E+02
 0.10471285E-01 0.11871620E+02
 0.10964782E-01 0.12296619E+02
 0.11481536E-01 0.12722795E+02
 0.12022644E-01 0.13149217E+02
 0.12589254E-01 0.13577251E+02
 0.13182567E-01 0.14001265E+02
 0.13803843E-01 0.14422706E+02
 0.14454398E-01 0.14840660E+02
 0.15135612E-01 0.15254225E+02
 0.15848932E-01 0.15662549E+02
 0.16595869E-01 0.16064280E+02
 0.17378008E-01 0.16459567E+02
 0.18197009E-01 0.16847198E+02
 0.19054607E-01 0.17226393E+02
 0.19952623E-01 0.17593677E+02
 0.20892961E-01 0.17954035E+02
 0.21877616E-01 0.18304001E+02
 0.22908677E-01 0.18643017E+02
 0.23988329E-01 0.18970572E+02
 0.25118864E-01 0.19286168E+02
 0.26302680E-01 0.19589420E+02
 0.27542287E-01 0.19879940E+02
 0.28840315E-01 0.20157413E+02
 0.30199517E-01 0.20421562E+02
 0.31622777E-01 0.20677866E+02
 0.33113112E-01 0.20914621E+02
 0.34673685E-01 0.21132514E+02
 0.36307805E-01 0.21341583E+02
 0.38018940E-01 0.21536662E+02
 0.39810717E-01 0.21717752E+02
 0.41686938E-01 0.21884885E+02
 0.43651583E-01 0.22041205E+02
 0.45708819E-01 0.22180620E+02
 0.47863009E-01 0.22306417E+02
 0.50118723E-01 0.22418768E+02
 0.52480746E-01 0.22517883E+02
 0.54954087E-01 0.22603995E+02
 0.57543994E-01 0.22677368E+02
 0.60255959E-01 0.22738291E+02
 0.63095734E-01 0.22787060E+02
 0.66069345E-01 0.22824013E+02
 0.69183097E-01 0.22849483E+02
 0.72443596E-01 0.22863836E+02
 0.75857758E-01 0.22867444E+02
 0.79432823E-01 0.22860700E+02
 0.83176377E-01 0.22843996E+02
 0.87096359E-01 0.22812003E+02
 0.91201084E-01 0.22776731E+02
 0.95499259E-01 0.22732703E+02
 0.10000000E+00 0.22680368E+02
 0.10471285E+00 0.22620147E+02
 0.10964782E+00 0.22552464E+02
 0.11481536E+00 0.22477743E+02
 0.12022644E+00 0.22396408E+02
 0.12589254E+00 0.22308882E+02
 0.13182567E+00 0.22215581E+02
 0.13803843E+00 0.22119494E+02
 0.14454398E+00 0.22017615E+02
 0.15135612E+00 0.21909361E+02
 0.15848932E+00 0.21796949E+02
 0.16595869E+00 0.21680765E+02
 0.17378008E+00 0.21561185E+02
 0.18197009E+00 0.21438585E+02
 0.19054607E+00 0.21313321E+02
 0.19952623E+00 0.21185745E+02
 0.20892961E+00 0.21056196E+02
 0.21877616E+00 0.20925013E+02
 0.22908677E+00 0.20789852E+02
 0.23988329E+00 0.20656361E+02
 0.25118864E+00 0.20522147E+02
 0.26302680E+00 0.20387497E+02
 0.27542287E+00 0.20252683E+02
 0.28840315E+00 0.20117967E+02
 0.30199517E+00 0.19983596E+02
 0.31622777E+00 0.19849810E+02
 0.33113112E+00 0.19716834E+02
 0.34673685E+00 0.19584877E+02
 0.36307805E+00 0.19454144E+02
 0.38018940E+00 0.19324821E+02
 0.39810717E+00 0.19197087E+02
 0.41686938E+00 0.19071107E+02
 0.43651583E+00 0.18947034E+02
 0.45708819E+00 0.18825011E+02
 0.47863009E+00 0.18705165E+02
 0.50118723E+00 0.18587621E+02
 0.52480746E+00 0.18472485E+02
 0.54954087E+00 0.18359855E+02
 0.57543994E+00 0.18249815E+02
 0.60255959E+00 0.18142443E+02
 0.63095734E+00 0.18037805E+02
 0.66069345E+00 0.17935959E+02
 0.69183097E+00 0.17836949E+02
 0.72443596E+00 0.17740815E+02
 0.75857758E+00 0.17647584E+02
