#......tp...... ...t_diff....
 0.10000000E-01 0.29774498E+01
 0.10471285E-01 0.30014124E+01
 0.10964782E-01 0.30242770E+01
 0.11481536E-01 0.30460059E+01
 0.12022644E-01 0.30665643E+01
 0.12589254E-01 0.30859202E+01
 0.13182567E-01 0.31040449E+01
 0.13803843E-01 0.31209127E+01
 0.14454398E-01 0.31365012E+01
 0.15135612E-01 0.31507912E+01
 0.15848932E-01 0.31637670E+01
 0.16595869E-01 0.31754158E+01
 0.17378008E-01 0.31857285E+01
 0.18197009E-01 0.31946990E+01
 0.19054607E-01 0.32023245E+01
 0.19952623E-01 0.32086055E+01
 0.20892961E-01 0.32135454E+01
 0.21877616E-01 0.32171507E+01
 0.22908677E-01 0.32194310E+01
 0.23988329E-01 0.32203985E+01
 0.25118864E-01 0.32200682E+01
 0.26302680E-01 0.32184579E+01
 0.27542287E-01 0.32155875E+01
 0.28840315E-01 0.32114797E+01
 0.30199517E-01 0.32061590E+01
 0.31622777E-01 0.31996524E+01
 0.33113112E-01 0.31919884E+01
 0.34673685E-01 0.31831976E+01
 0.36307805E-01 0.31733122E+01
 0.38018940E-01 0.31623659E+01
 0.39810717E-01 0.31503936E+01
 0.41686938E-01 0.31374316E+01
 0.43651583E-01 0.31235172E+01
 0.45708819E-01 0.31086888E+01
 0.47863009E-01 0.30929853E+01
 0.50118723E-01 0.30764465E+01
 0.52480746E-01 0.30591127E+01
 0.54954087E-01 0.30410246E+01
 0.57543994E-01 0.30222232E+01
 0.60255959E-01 0.30027497E+01
 0.63095734E-01 0.29826455E+01
 0.66069345E-01 0.29619516E+01
 0.69183097E-01 0.29407094E+01
 0.72443596E-01 0.29189597E+01
 0.75857758E-01 0.28967432E+01
 0.79432823E-01 0.28741001E+01
 0.83176377E-01 0.28510702E+01
 0.87096359E-01 0.28276928E+01
 0.91201084E-01 0.28040065E+01
 0.95499259E-01 0.27800494E+01
 0.10000000E+00 0.27558588E+01
 0.10471285E+00 0.27314713E+01
 0.10964782E+00 0.27069225E+01
 0.11481536E+00 0.26822475E+01
 0.12022644E+00 0.26574801E+01
 0.12589254E+00 0.26326536E+01
 0.13182567E+00 0.26078000E+01
 0.13803843E+00 0.25829506E+01
 0.14454398E+00 0.25581354E+01
 0.15135612E+00 0.25333837E+01
 0.15848932E+00 0.25087235E+01
 0.16595869E+00 0.24841821E+01
 0.17378008E+00 0.24597853E+01
 0.18197009E+00 0.24355582E+01
 0.19054607E+00 0.24115246E+01
 0.19952623E+00 0.23877073E+01
 0.20892961E+00 0.23641282E+01
 0.21877616E+00 0.23408078E+01
 0.22908677E+00 0.23177657E+01
 0.23988329E+00 0.22950206E+01
 0.25118864E+00 0.22725897E+01
 0.26302680E+00 0.22504896E+01
 0.27542287E+00 0.22287355E+01
 0.28840315E+00 0.22073419E+01
