#......tp...... ...t_diff....
 0.10000000E-01 0.36803106E+01
 0.10471285E-01 0.37267977E+01
 0.10964782E-01 0.37721098E+01
 0.11481536E-01 0.38161651E+01
 0.12022644E-01 0.38588850E+01
 0.12589254E-01 0.39001945E+01
 0.13182567E-01 0.39400224E+01
 0.13803843E-01 0.39783019E+01
 0.14454398E-01 0.40149702E+01
 0.15135612E-01 0.40499693E+01
 0.15848932E-01 0.40832461E+01
 0.16595869E-01 0.41147523E+01
 0.17378008E-01 0.41444447E+01
 0.18197009E-01 0.41722853E+01
 0.19054607E-01 0.41982412E+01
 0.19952623E-01 0.42222850E+01
 0.20892961E-01 0.42443944E+01
 0.21877616E-01 0.42645523E+01
 0.22908677E-01 0.42827470E+01
 0.23988329E-01 0.42989716E+01
 0.25118864E-01 0.43132245E+01
 0.26302680E-01 0.43255089E+01
 0.27542287E-01 0.43358327E+01
 0.28840315E-01 0.43442084E+01
 0.30199517E-01 0.43506532E+01
 0.31622777E-01 0.43551883E+01
 0.33113112E-01 0.43578389E+01
 0.34673685E-01 0.43586343E+01
 0.36307805E-01 0.43576073E+01
 0.38018940E-01 0.43547940E+01
 0.39810717E-01 0.43502340E+01
 0.41686938E-01 0.43439695E+01
 0.43651583E-01 0.43360457E+01
 0.45708819E-01 0.43265103E+01
 0.47863009E-01 0.43154131E+01
 0.50118723E-01 0.43028061E+01
 0.52480746E-01 0.42887530E+01
 0.54954087E-01 0.42732890E+01
 0.57543994E-01 0.42564810E+01
 0.60255959E-01 0.42383871E+01
 0.63095734E-01 0.42190660E+01
 0.66069345E-01 0.41985775E+01
 0.69183097E-01 0.41769818E+01
 0.72443596E-01 0.41543397E+01
 0.75857758E-01 0.41307119E+01
 0.79432823E-01 0.41061596E+01
 0.83176377E-01 0.40807435E+01
 0.87096359E-01 0.40545243E+01
 0.91201084E-01 0.40275624E+01
 0.95499259E-01 0.39999174E+01
 0.10000000E+00 0.39716485E+01
 0.10471285E+00 0.39428142E+01
 0.10964782E+00 0.39134719E+01
 0.11481536E+00 0.38836782E+01
 0.12022644E+00 0.38534888E+01
 0.12589254E+00 0.38229581E+01
 0.13182567E+00 0.37921393E+01
 0.13803843E+00 0.37610845E+01
 0.14454398E+00 0.37298442E+01
 0.15135612E+00 0.36984678E+01
 0.15848932E+00 0.36670032E+01
 0.16595869E+00 0.36354966E+01
 0.17378008E+00 0.36039931E+01
 0.18197009E+00 0.35725359E+01
 0.19054607E+00 0.35411668E+01
 0.19952623E+00 0.35099260E+01
 0.20892961E+00 0.34788519E+01
 0.21877616E+00 0.34479816E+01
 0.22908677E+00 0.34173515E+01
 0.23988329E+00 0.33869928E+01
 0.25118864E+00 0.33569387E+01
 0.26302680E+00 0.33272195E+01
 0.27542287E+00 0.32978640E+01
 0.28840315E+00 0.32688990E+01
 0.30199517E+00 0.32403500E+01
 0.31622777E+00 0.32122408E+01
 0.33113112E+00 0.31845934E+01
 0.34673685E+00 0.31574284E+01
 0.36307805E+00 0.31307646E+01
 0.38018940E+00 0.31046195E+01
 0.39810717E+00 0.30790087E+01
 0.41686938E+00 0.30539466E+01
 0.43651583E+00 0.30294458E+01
 0.45708819E+00 0.30055176E+01
 0.47863009E+00 0.29821719E+01
 0.50118723E+00 0.29594168E+01
 0.52480746E+00 0.29372595E+01
 0.54954087E+00 0.29157054E+01
 0.57543994E+00 0.28947587E+01
 0.60255959E+00 0.28744225E+01
 0.63095734E+00 0.28546984E+01
 0.66069345E+00 0.28355867E+01
 0.69183097E+00 0.28170869E+01
 0.72443596E+00 0.27991968E+01
 0.75857758E+00 0.27819137E+01
 0.79432823E+00 0.27652333E+01
 0.83176377E+00 0.27491506E+01
 0.87096359E+00 0.27336596E+01
 0.91201084E+00 0.27187533E+01
 0.95499259E+00 0.27044240E+01
 0.10000000E+01 0.26906629E+01
 0.10471285E+01 0.26774607E+01
 0.10964782E+01 0.26648073E+01
 0.11481536E+01 0.26526919E+01
 0.12022644E+01 0.26411033E+01
 0.12589254E+01 0.26300294E+01
 0.13182567E+01 0.26194580E+01
 0.13803843E+01 0.26093762E+01
 0.14454398E+01 0.25997708E+01
 0.15135612E+01 0.25906284E+01
 0.15848932E+01 0.25819351E+01
 0.16595869E+01 0.25736770E+01
 0.17378008E+01 0.25658398E+01
 0.18197009E+01 0.25584094E+01
 0.19054607E+01 0.25513713E+01
 0.19952623E+01 0.25447112E+01
 0.20892961E+01 0.25384148E+01
 0.21877616E+01 0.25324677E+01
 0.22908677E+01 0.25268559E+01
 0.23988329E+01 0.25215652E+01
 0.25118864E+01 0.25165819E+01
 0.26302680E+01 0.25118923E+01
 0.27542287E+01 0.25074830E+01
 0.28840315E+01 0.25033408E+01
 0.30199517E+01 0.24994531E+01
 0.31622777E+01 0.24958071E+01
 0.33113112E+01 0.24718518E+01
 0.34673685E+01 0.24464170E+01
 0.36307805E+01 0.24207458E+01
 0.38018940E+01 0.23948433E+01
 0.39810717E+01 0.23687152E+01
 0.41686938E+01 0.23423678E+01
 0.43651583E+01 0.23158083E+01
 0.45708819E+01 0.22890444E+01
 0.47863009E+01 0.22620848E+01
 0.50118723E+01 0.22349386E+01
 0.52480746E+01 0.22076157E+01
 0.54954087E+01 0.21801267E+01
 0.57543994E+01 0.21524828E+01
 0.60255959E+01 0.21246957E+01
 0.63095734E+01 0.20967778E+01
 0.66069345E+01 0.20687420E+01
 0.69183097E+01 0.20406014E+01
 0.72443596E+01 0.20123698E+01
 0.75857758E+01 0.19840613E+01
 0.79432823E+01 0.19556902E+01
 0.83176377E+01 0.19272711E+01
 0.87096359E+01 0.18988189E+01
 0.91201084E+01 0.18703486E+01
 0.95499259E+01 0.18418751E+01
 0.10000000E+02 0.18134137E+01
 0.10471285E+02 0.17849794E+01
 0.10964782E+02 0.17565874E+01
 0.11481536E+02 0.17282524E+01
 0.12022644E+02 0.16999895E+01
 0.12589254E+02 0.16718132E+01
 0.13182567E+02 0.16437378E+01
 0.13803843E+02 0.16157776E+01
 0.14454398E+02 0.15879463E+01
 0.15135612E+02 0.15602575E+01
 0.15848932E+02 0.15327243E+01
 0.16595869E+02 0.15053594E+01
 0.17378008E+02 0.14781752E+01
 0.18197009E+02 0.14511836E+01
 0.19054607E+02 0.14243960E+01
 0.19952623E+02 0.13978234E+01
 0.20892961E+02 0.13714764E+01
 0.21877616E+02 0.13453649E+01
 0.22908677E+02 0.13194985E+01
 0.23988329E+02 0.12938861E+01
 0.25118864E+02 0.12685362E+01
 0.26302680E+02 0.12434569E+01
 0.27542287E+02 0.12186557E+01
 0.28840315E+02 0.11941393E+01
 0.30199517E+02 0.11699144E+01
 0.31622777E+02 0.11459869E+01
 0.33113112E+02 0.11223623E+01
 0.34673685E+02 0.10990454E+01
 0.36307805E+02 0.10760409E+01
 0.38018940E+02 0.10533526E+01
 0.39810717E+02 0.10309843E+01
 0.41686938E+02 0.10089389E+01
 0.43651583E+02 0.98721929E+00
 0.45708819E+02 0.96582757E+00
