#......tp...... ...t_diff....
 0.10000000E-01 0.10769813E+02
 0.10471285E-01 0.11250480E+02
 0.10964782E-01 0.11732478E+02
 0.11481536E-01 0.12214694E+02
 0.12022644E-01 0.12707785E+02
 0.12589254E-01 0.13186497E+02
 0.13182567E-01 0.13675295E+02
 0.13803843E-01 0.14160229E+02
 0.14454398E-01 0.14654356E+02
 0.15135612E-01 0.15128772E+02
 0.15848932E-01 0.15611104E+02
 0.16595869E-01 0.16086128E+02
 0.17378008E-01 0.10265299E+02
 0.18197009E-01 0.10895139E+02
 0.19054607E-01 0.17438879E+02
 0.19952623E-01 0.17891295E+02
 0.20892961E-01 0.18297005E+02
 0.21877616E-01 0.18725604E+02
 0.22908677E-01 0.19122799E+02
 0.23988329E-01 0.19524956E+02
 0.25118864E-01 0.19893491E+02
 0.26302680E-01 0.20266617E+02
 0.27542287E-01 0.20624702E+02
 0.28840315E-01 0.20967431E+02
 0.30199517E-01 0.21273891E+02
 0.31622777E-01 0.21584722E+02
 0.33113112E-01 0.21879142E+02
 0.34673685E-01 0.22157192E+02
 0.36307805E-01 0.22418768E+02
 0.38018940E-01 0.22663486E+02
 0.39810717E-01 0.22913672E+02
 0.41686938E-01 0.23125244E+02
 0.43651583E-01 0.23320208E+02
 0.45708819E-01 0.23498804E+02
 0.47863009E-01 0.23661041E+02
 0.50118723E-01 0.23830227E+02
 0.52480746E-01 0.23960639E+02
 0.54954087E-01 0.24098414E+02
 0.57543994E-01 0.24198072E+02
 0.60255959E-01 0.24282768E+02
 0.63095734E-01 0.24376219E+02
 0.66069345E-01 0.24432223E+02
 0.69183097E-01 0.24497704E+02
 0.72443596E-01 0.24526463E+02
 0.75857758E-01 0.24565692E+02
 0.79432823E-01 0.24569034E+02
 0.83176377E-01 0.24583801E+02
 0.87096359E-01 0.24563335E+02
 0.91201084E-01 0.24555412E+02
 0.95499259E-01 0.24536618E+02
 0.10000000E+00 0.24484518E+02
 0.10471285E+00 0.24446105E+02
 0.10964782E+00 0.24398342E+02
 0.11481536E+00 0.24318868E+02
 0.12022644E+00 0.24254376E+02
