#......tp...... ...t_diff....
 0.10000000E-01 0.40722777E+01
 0.10471285E-01 0.41381287E+01
 0.10964782E-01 0.42029466E+01
 0.11481536E-01 0.42662256E+01
 0.12022644E-01 0.43286098E+01
 0.12589254E-01 0.43895894E+01
 0.13182567E-01 0.44490574E+01
 0.13803843E-01 0.45065051E+01
 0.14454398E-01 0.45626171E+01
 0.15135612E-01 0.46168952E+01
 0.15848932E-01 0.46688375E+01
 0.16595869E-01 0.47191806E+01
 0.17378008E-01 0.47674260E+01
 0.18197009E-01 0.48134990E+01
 0.19054607E-01 0.48569101E+01
 0.19952623E-01 0.48984517E+01
 0.20892961E-01 0.49376392E+01
 0.21877616E-01 0.49744266E+01
 0.22908677E-01 0.50087751E+01
 0.23988329E-01 0.50402224E+01
 0.25118864E-01 0.50696159E+01
 0.26302680E-01 0.50964980E+01
 0.27542287E-01 0.51208586E+01
 0.28840315E-01 0.51426947E+01
 0.30199517E-01 0.51615680E+01
 0.31622777E-01 0.51783819E+01
 0.33113112E-01 0.51927010E+01
 0.34673685E-01 0.52045474E+01
 0.36307805E-01 0.52139492E+01
 0.38018940E-01 0.52209396E+01
 0.39810717E-01 0.52251089E+01
 0.41686938E-01 0.52274062E+01
 0.43651583E-01 0.52274212E+01
 0.45708819E-01 0.52252059E+01
 0.47863009E-01 0.52208158E+01
 0.50118723E-01 0.52143103E+01
 0.52480746E-01 0.52057518E+01
 0.54954087E-01 0.51952056E+01
 0.57543994E-01 0.51822999E+01
 0.60255959E-01 0.51679933E+01
 0.63095734E-01 0.51519090E+01
 0.66069345E-01 0.51341207E+01
 0.69183097E-01 0.51147038E+01
 0.72443596E-01 0.50937344E+01
 0.75857758E-01 0.50712900E+01
 0.79432823E-01 0.50474482E+01
 0.83176377E-01 0.50222874E+01
 0.87096359E-01 0.49958860E+01
 0.91201084E-01 0.49683224E+01
 0.95499259E-01 0.49392623E+01
 0.10000000E+00 0.49096160E+01
 0.10471285E+00 0.48790400E+01
 0.10964782E+00 0.48476107E+01
 0.11481536E+00 0.48154032E+01
 0.12022644E+00 0.47824917E+01
 0.12589254E+00 0.47489495E+01
 0.13182567E+00 0.47148480E+01
 0.13803843E+00 0.46802575E+01
 0.14454398E+00 0.46452468E+01
 0.15135612E+00 0.46098827E+01
 0.15848932E+00 0.45742307E+01
 0.16595869E+00 0.45383542E+01
 0.17378008E+00 0.45023148E+01
 0.18197009E+00 0.44661723E+01
 0.19054607E+00 0.44296156E+01
 0.19952623E+00 0.43934442E+01
 0.20892961E+00 0.43573366E+01
 0.21877616E+00 0.43213442E+01
 0.22908677E+00 0.42855166E+01
 0.23988329E+00 0.42499010E+01
 0.25118864E+00 0.42145425E+01
 0.26302680E+00 0.41794842E+01
 0.27542287E+00 0.41447670E+01
 0.28840315E+00 0.41104293E+01
 0.30199517E+00 0.40765078E+01
 0.31622777E+00 0.40430368E+01
 0.33113112E+00 0.40100483E+01
 0.34673685E+00 0.39775726E+01
 0.36307805E+00 0.39456375E+01
 0.38018940E+00 0.39142689E+01
 0.39810717E+00 0.38834904E+01
 0.41686938E+00 0.38533238E+01
 0.43651583E+00 0.38237887E+01
 0.45708819E+00 0.37949029E+01
 0.47863009E+00 0.37666821E+01
 0.50118723E+00 0.37391399E+01
 0.52480746E+00 0.37122885E+01
 0.54954087E+00 0.36861377E+01
 0.57543994E+00 0.36606959E+01
 0.60255959E+00 0.36359696E+01
 0.63095734E+00 0.36119636E+01
 0.66069345E+00 0.35886810E+01
 0.69183097E+00 0.35661233E+01
 0.72443596E+00 0.35442906E+01
 0.75857758E+00 0.35231813E+01
 0.79432823E+00 0.35027925E+01
 0.83176377E+00 0.34831199E+01
 0.87096359E+00 0.34638709E+01
 0.91201084E+00 0.34456147E+01
 0.95499259E+00 0.34280542E+01
 0.10000000E+01 0.34111800E+01
 0.10471285E+01 0.33949819E+01
 0.10964782E+01 0.33794489E+01
 0.11481536E+01 0.33645688E+01
 0.12022644E+01 0.33503288E+01
 0.12589254E+01 0.33367152E+01
 0.13182567E+01 0.33237137E+01
 0.13803843E+01 0.33113093E+01
 0.14454398E+01 0.32994866E+01
 0.15135612E+01 0.32882296E+01
 0.15848932E+01 0.32775219E+01
 0.16595869E+01 0.32673469E+01
 0.17378008E+01 0.32576877E+01
 0.18197009E+01 0.32485272E+01
 0.19054607E+01 0.32398480E+01
 0.19952623E+01 0.32316328E+01
 0.20892961E+01 0.32238644E+01
 0.21877616E+01 0.32165253E+01
 0.22908677E+01 0.32095985E+01
 0.23988329E+01 0.32030668E+01
 0.25118864E+01 0.31969134E+01
 0.26302680E+01 0.31911217E+01
 0.27542287E+01 0.31856752E+01
 0.28840315E+01 0.31805580E+01
 0.30199517E+01 0.31757543E+01
 0.31622777E+01 0.31712489E+01
 0.33113112E+01 0.31454811E+01
 0.34673685E+01 0.31179706E+01
 0.36307805E+01 0.30900147E+01
 0.38018940E+01 0.30616190E+01
 0.39810717E+01 0.30327898E+01
 0.41686938E+01 0.30035348E+01
 0.43651583E+01 0.29738623E+01
