#......tp...... ...t_diff....
 0.10000000E-01 0.84703342E+01
 0.10471285E-01 0.84240848E+01
 0.10964782E-01 0.83772941E+01
 0.11481536E-01 0.83299666E+01
 0.12022644E-01 0.82821074E+01
 0.12589254E-01 0.82337220E+01
 0.13182567E-01 0.81848164E+01
 0.13803843E-01 0.81353972E+01
 0.14454398E-01 0.80854714E+01
 0.15135612E-01 0.80350467E+01
 0.15848932E-01 0.79841312E+01
 0.16595869E-01 0.79327338E+01
 0.17378008E-01 0.78808635E+01
 0.18197009E-01 0.78285304E+01
 0.19054607E-01 0.77757448E+01
 0.19952623E-01 0.77225178E+01
 0.20892961E-01 0.76688609E+01
 0.21877616E-01 0.76147863E+01
 0.22908677E-01 0.75603069E+01
 0.23988329E-01 0.75054358E+01
 0.25118864E-01 0.74501872E+01
 0.26302680E-01 0.73945755E+01
 0.27542287E-01 0.73386158E+01
 0.28840315E-01 0.72823239E+01
 0.30199517E-01 0.72257160E+01
 0.31622777E-01 0.71688090E+01
 0.33113112E-01 0.71116204E+01
 0.34673685E-01 0.70541680E+01
 0.36307805E-01 0.69964705E+01
 0.38018940E-01 0.69385469E+01
 0.39810717E-01 0.68804169E+01
 0.41686938E-01 0.68221004E+01
 0.43651583E-01 0.67636183E+01
 0.45708819E-01 0.67049914E+01
 0.47863009E-01 0.66462415E+01
 0.50118723E-01 0.65873904E+01
 0.52480746E-01 0.65284607E+01
 0.54954087E-01 0.64694751E+01
 0.57543994E-01 0.64104569E+01
 0.60255959E-01 0.63514295E+01
 0.63095734E-01 0.62924170E+01
 0.66069345E-01 0.62334433E+01
 0.69183097E-01 0.61745331E+01
 0.72443596E-01 0.61157108E+01
 0.75857758E-01 0.60570015E+01
 0.79432823E-01 0.59984302E+01
 0.83176377E-01 0.59400219E+01
 0.87096359E-01 0.58818020E+01
 0.91201084E-01 0.58237959E+01
 0.95499259E-01 0.57660287E+01
 0.10000000E+00 0.57085259E+01
 0.10471285E+00 0.56513126E+01
 0.10964782E+00 0.55944141E+01
 0.11481536E+00 0.55378552E+01
 0.12022644E+00 0.54816609E+01
 0.12589254E+00 0.54258555E+01
 0.13182567E+00 0.53704633E+01
 0.13803843E+00 0.53155084E+01
 0.14454398E+00 0.52610141E+01
 0.15135612E+00 0.52070036E+01
 0.15848932E+00 0.51534994E+01
 0.16595869E+00 0.51005237E+01
 0.17378008E+00 0.50480980E+01
 0.18197009E+00 0.49962431E+01
 0.19054607E+00 0.49449792E+01
 0.19952623E+00 0.48943258E+01
 0.20892961E+00 0.48443016E+01
 0.21877616E+00 0.47949244E+01
 0.22908677E+00 0.47462112E+01
 0.23988329E+00 0.46981782E+01
 0.25118864E+00 0.46508403E+01
 0.26302680E+00 0.46042119E+01
 0.27542287E+00 0.45583058E+01
 0.28840315E+00 0.45131340E+01
 0.30199517E+00 0.44687075E+01
 0.31622777E+00 0.44250359E+01
 0.33113112E+00 0.43821276E+01
 0.34673685E+00 0.43399899E+01
 0.36307805E+00 0.42986287E+01
 0.38018940E+00 0.42580487E+01
 0.39810717E+00 0.42182532E+01
 0.41686938E+00 0.41792442E+01
 0.43651583E+00 0.41410224E+01
 0.45708819E+00 0.41035868E+01
 0.47863009E+00 0.40669355E+01
 0.50118723E+00 0.40310648E+01
 0.52480746E+00 0.39959697E+01
 0.54954087E+00 0.39616438E+01
 0.57543994E+00 0.39280793E+01
 0.60255959E+00 0.38952671E+01
 0.63095734E+00 0.38631965E+01
 0.66069345E+00 0.38318555E+01
 0.69183097E+00 0.38012309E+01
 0.72443596E+00 0.37713079E+01
 0.75857758E+00 0.37420706E+01
 0.79432823E+00 0.37135019E+01
 0.83176377E+00 0.36855832E+01
 0.87096359E+00 0.36582951E+01
 0.91201084E+00 0.36316167E+01
 0.95499259E+00 0.36055262E+01
 0.10000000E+01 0.35800009E+01
 0.10471285E+01 0.35550171E+01
 0.10964782E+01 0.35305499E+01
 0.11481536E+01 0.35065740E+01
 0.12022644E+01 0.34830633E+01
 0.12589254E+01 0.34599907E+01
 0.13182567E+01 0.34373288E+01
 0.13803843E+01 0.34150498E+01
 0.14454398E+01 0.33931252E+01
 0.15135612E+01 0.33715262E+01
 0.15848932E+01 0.33502241E+01
 0.16595869E+01 0.33291895E+01
 0.17378008E+01 0.33083934E+01
 0.18197009E+01 0.32878065E+01
 0.19054607E+01 0.32673998E+01
 0.19952623E+01 0.32471444E+01
 0.20892961E+01 0.32270117E+01
 0.21877616E+01 0.32069735E+01
 0.22908677E+01 0.31870019E+01
 0.23988329E+01 0.31670697E+01
 0.25118864E+01 0.31471503E+01
 0.26302680E+01 0.31272177E+01
 0.27542287E+01 0.31072465E+01
 0.28840315E+01 0.30872125E+01
 0.30199517E+01 0.30670921E+01
 0.31622777E+01 0.30468626E+01
 0.33113112E+01 0.30265026E+01
 0.34673685E+01 0.30059915E+01
 0.36307805E+01 0.29853099E+01
 0.38018940E+01 0.29644395E+01
 0.39810717E+01 0.29433633E+01
 0.41686938E+01 0.29220653E+01
 0.43651583E+01 0.29005310E+01
 0.45708819E+01 0.28787470E+01
 0.47863009E+01 0.28567014E+01
 0.50118723E+01 0.28343834E+01
 0.52480746E+01 0.28117835E+01
 0.54954087E+01 0.27888939E+01
 0.57543994E+01 0.27657076E+01
 0.60255959E+01 0.27422194E+01
 0.63095734E+01 0.27184251E+01
 0.66069345E+01 0.26943220E+01
 0.69183097E+01 0.26699085E+01
 0.72443596E+01 0.26451846E+01
 0.75857758E+01 0.26201512E+01
 0.79432823E+01 0.25948106E+01
 0.83176377E+01 0.25691663E+01
 0.87096359E+01 0.25432228E+01
 0.91201084E+01 0.25169859E+01
 0.95499259E+01 0.24904624E+01
 0.10000000E+02 0.24636600E+01
 0.10471285E+02 0.24365875E+01
 0.10964782E+02 0.24092547E+01
 0.11481536E+02 0.23816722E+01
 0.12022644E+02 0.23538513E+01
 0.12589254E+02 0.23258042E+01
 0.13182567E+02 0.22975438E+01
 0.13803843E+02 0.22690836E+01
 0.14454398E+02 0.22404378E+01
 0.15135612E+02 0.22116211E+01
 0.15848932E+02 0.21826485E+01
 0.16595869E+02 0.21535356E+01
 0.17378008E+02 0.21242983E+01
 0.18197009E+02 0.20949528E+01
 0.19054607E+02 0.20655155E+01
 0.19952623E+02 0.20360032E+01
 0.20892961E+02 0.20064324E+01
 0.21877616E+02 0.19768201E+01
 0.22908677E+02 0.19471831E+01
 0.23988329E+02 0.19175382E+01
 0.25118864E+02 0.18879022E+01
 0.26302680E+02 0.18582916E+01
 0.27542287E+02 0.18287230E+01
 0.28840315E+02 0.17992126E+01
 0.30199517E+02 0.17697763E+01
 0.31622777E+02 0.17404300E+01
 0.33113112E+02 0.17111889E+01
 0.34673685E+02 0.16820682E+01
 0.36307805E+02 0.16530826E+01
 0.38018940E+02 0.16242462E+01
 0.39810717E+02 0.15955729E+01
 0.41686938E+02 0.15670761E+01
 0.43651583E+02 0.15387687E+01
 0.45708819E+02 0.15106631E+01
 0.47863009E+02 0.14827713E+01
 0.50118723E+02 0.14551046E+01
 0.52480746E+02 0.14276741E+01
 0.54954087E+02 0.14004899E+01
 0.57543994E+02 0.13735621E+01
 0.60255959E+02 0.13468998E+01
 0.63095734E+02 0.13205118E+01
 0.66069345E+02 0.12944063E+01
 0.69183097E+02 0.12685910E+01
 0.72443596E+02 0.12430732E+01
 0.75857758E+02 0.12178593E+01
 0.79432823E+02 0.11929555E+01
 0.83176377E+02 0.11683674E+01
 0.87096359E+02 0.11441000E+01
 0.91201084E+02 0.11201581E+01
 0.95499259E+02 0.10965456E+01
 0.10000000E+03 0.10732662E+01
 0.10471285E+03 0.10503231E+01
 0.10964782E+03 0.10277190E+01
 0.11481536E+03 0.10054563E+01
 0.12022644E+03 0.98353672E+00
 0.12589254E+03 0.96196184E+00
 0.13182567E+03 0.94073271E+00
 0.13803843E+03 0.91985004E+00
 0.14454398E+03 0.89931418E+00
 0.15135612E+03 0.87912513E+00
 0.15848932E+03 0.85928257E+00
 0.16595869E+03 0.83978583E+00
 0.17378008E+03 0.82063399E+00
 0.18197009E+03 0.80182581E+00
 0.19054607E+03 0.78335979E+00
 0.19952623E+03 0.76523416E+00
 0.20892961E+03 0.74744694E+00
 0.21877616E+03 0.72999589E+00
 0.22908677E+03 0.71287858E+00
 0.23988329E+03 0.69609236E+00
 0.25118864E+03 0.67963440E+00
 0.26302680E+03 0.66350170E+00
 0.27542287E+03 0.64769109E+00
 0.28840315E+03 0.63219927E+00
 0.30199517E+03 0.61702277E+00
 0.31622777E+03 0.60215802E+00
 0.33113112E+03 0.58760132E+00
 0.34673685E+03 0.57334887E+00
 0.36307805E+03 0.55939678E+00
 0.38018940E+03 0.54574105E+00
 0.39810717E+03 0.53237764E+00
 0.41686938E+03 0.51930242E+00
 0.43651583E+03 0.50651121E+00
 0.45708819E+03 0.49399976E+00
 0.47863009E+03 0.48176380E+00
 0.50118723E+03 0.46979903E+00
 0.52480746E+03 0.45810109E+00
 0.54954087E+03 0.44666562E+00
 0.57543994E+03 0.43548825E+00
 0.60255959E+03 0.42456459E+00
 0.63095734E+03 0.41389024E+00
 0.66069345E+03 0.40346081E+00
 0.69183097E+03 0.39327193E+00
 0.72443596E+03 0.38331920E+00
 0.75857758E+03 0.37359829E+00
 0.79432823E+03 0.36410484E+00
 0.83176377E+03 0.35483455E+00
 0.87096359E+03 0.34578312E+00
 0.91201084E+03 0.33694630E+00
 0.95499259E+03 0.32831987E+00
 0.10000000E+04 0.31989962E+00
