#  Gondolo-Gelmini TQCD=150 MeV
#  rho=g*(pi^2/30)*T^4    s=gS*(2*pi^2/45)*T^3    p=gP*(pi^2/90)*T^4
#  T[GeV]             sqrt(gstar)             gS
      0.1258925d5   10.283486d0   105.749901d0  
      0.1188504d5   10.283488d0   105.749901d0 
      0.1122019d5   10.283484d0   105.749802d0   
      0.1059256d5   10.283484d0   105.749802d0   
      0.1000000d5   10.283486d0   105.749802d0   
      0.9440606d4   10.283487d0   105.749802d0   
      0.8912530d4   10.283480d0   105.749702d0   
      0.8413950d4   10.283487d0   105.749702d0   
      0.7943284d4   10.283490d0   105.749702d0   
      0.7498942d4   10.283487d0   105.749603d0   
      0.7079457d4   10.283490d0   105.749603d0   
      0.6683455d4   10.283483d0   105.749496d0   
      0.6309586d4   10.283490d0   105.749496d0   
      0.5956636d4   10.283485d0   105.749397d0   
      0.5623426d4   10.283485d0   105.749298d0   
      0.5308843d4   10.283485d0   105.749199d0   
      0.5011873d4   10.283497d0   105.749199d0   
      0.4731512d4   10.283500d0   105.749100d0   
      0.4466837d4   10.283503d0   105.749001d0   
      0.4216965d4   10.283496d0   105.748802d0   
      0.3981071d4   10.283501d0   105.748703d0   
      0.3758375d4   10.283501d0   105.748497d0   
      0.3548141d4   10.283503d0   105.748299d0   
      0.3349663d4   10.283502d0   105.748100d0   
      0.3162285d4   10.283512d0   105.747902d0   
      0.2985382d4   10.283519d0   105.747704d0   
      0.2818396d4   10.283517d0   105.747398d0   
      0.2660725d4   10.283524d0   105.747101d0   
      0.2511887d4   10.283527d0   105.746696d0   
      0.2371374d4   10.283530d0   105.746300d0   
      0.2238721d4   10.283529d0   105.745796d0   
      0.2113489d4   10.283541d0   105.745300d0   
      0.1995262d4   10.283551d0   105.744797d0   
      0.1883650d4   10.283556d0   105.744102d0   
      0.1778279d4   10.283563d0   105.743401d0   
      0.1678808d4   10.283572d0   105.742599d0   
      0.1584893d4   10.283583d0   105.741699d0   
      0.1496235d4   10.283595d0   105.740700d0   
      0.1412538d4   10.283612d0   105.739601d0   
      0.1333521d4   10.283621d0   105.738297d0   
      0.1258929d4   10.283642d0   105.736900d0   
      0.1188502d4   10.283661d0   105.735298d0   
      0.1122018d4   10.283676d0   105.733498d0   
      0.1059254d4   10.283702d0   105.731499d0   
      0.1000000d4   10.283710d0   105.729202d0   
      0.9440607d3   10.283741d0   105.726700d0   
      0.8912530d3   10.283781d0   105.723801d0   
      0.8413969d3   10.283800d0   105.720596d0   
      0.7943284d3   10.283820d0   105.717003d0   
      0.7498942d3   10.283851d0   105.712997d0   
      0.7079456d3   10.283890d0   105.708504d0   
      0.6683440d3   10.283950d0   105.703499d0   
      0.6309573d3   10.284021d0   105.697800d0   
      0.5956623d3   10.284051d0   105.691399d0   
      0.5623413d3   10.284140d0   105.684303d0   
      0.5308843d3   10.284220d0   105.676201d0   
      0.5011873d3   10.284279d0   105.667198d0   
      0.4731523d3   10.284350d0   105.657097d0   
      0.4466847d3   10.284448d0   105.645798d0   
      0.4216965d3   10.284580d0   105.633102d0   
      0.3981071d3   10.284698d0   105.618797d0   
      0.3758391d3   10.284810d0   105.602798d0   
      0.3548134d3   10.284950d0   105.584900d0   
      0.3349655d3   10.285129d0   105.564796d0   
      0.3162278d3   10.285310d0   105.542198d0   
      0.2985382d3   10.285480d0   105.516899d0   
      0.2818383d3   10.285710d0   105.488602d0   
      0.2660725d3   10.285929d0   105.456802d0   
      0.2511887d3   10.286171d0   105.421303d0   
      0.2371374d3   10.286439d0   105.381500d0   
      0.2238727d3   10.286731d0   105.336998d0   
      0.2113489d3   10.287050d0   105.287201d0   
      0.1995262d3   10.287380d0   105.231499d0   
      0.1883658d3   10.287721d0   105.169296d0   
      0.1778279d3   10.288090d0   105.099899d0   
      0.1678804d3   10.288471d0   105.022400d0   
      0.1584893d3   10.288869d0   104.936096d0   
      0.1496236d3   10.289300d0   104.839897d0   
      0.1412538d3   10.289671d0   104.732803d0   
      0.1333521d3   10.290009d0   104.613899d0   
      0.1258925d3   10.290360d0   104.481903d0   
      0.1188505d3   10.290609d0   104.335503d0   
      0.1122021d3   10.290811d0   104.173599d0   
      0.1059254d3   10.290900d0   103.994499d0   
