#  Hindmarsh-Philipsen equation of state B2
#  rho=g*(pi^2/30)*T^4    s=gS*(2*pi^2/45)*T^3    p=gP*(pi^2/90)*T^4
#  T[GeV]             sqrt(gstar)             gS
      1.2589250e+04   1.0234282e+01   1.0466746e+02   
      1.1885040e+04   1.0233702e+01   1.0466040e+02   
      1.1220190e+04   1.0233385e+01   1.0465328e+02   
      1.0592560e+04   1.0233066e+01   1.0464609e+02   
      1.0000000e+04   1.0232743e+01   1.0463883e+02   
      9.4406060e+03   1.0232418e+01   1.0463150e+02   
      8.9125300e+03   1.0232091e+01   1.0462410e+02   
      8.4139500e+03   1.0231760e+01   1.0461662e+02   
      7.9432840e+03   1.0231427e+01   1.0460906e+02   
      7.4989420e+03   1.0231090e+01   1.0460143e+02   
      7.0794570e+03   1.0230751e+01   1.0459371e+02   
      6.6834550e+03   1.0230408e+01   1.0458590e+02   
      6.3095860e+03   1.0230063e+01   1.0457801e+02   
      5.9566360e+03   1.0229714e+01   1.0457003e+02   
      5.6234260e+03   1.0229362e+01   1.0456195e+02   
      5.3088430e+03   1.0229007e+01   1.0455378e+02   
      5.0118730e+03   1.0228649e+01   1.0454550e+02   
      4.7315120e+03   1.0228287e+01   1.0453712e+02   
      4.4668370e+03   1.0227922e+01   1.0452863e+02   
      4.2169650e+03   1.0227554e+01   1.0452002e+02   
      3.9810710e+03   1.0227180e+01   1.0451129e+02   
      3.7583750e+03   1.0226804e+01   1.0450244e+02   
      3.5481410e+03   1.0226424e+01   1.0449345e+02   
      3.3496630e+03   1.0226040e+01   1.0448432e+02   
      3.1622850e+03   1.0225652e+01   1.0447504e+02   
      2.9853820e+03   1.0225260e+01   1.0446561e+02   
      2.8183960e+03   1.0224864e+01   1.0445601e+02   
      2.6607250e+03   1.0224464e+01   1.0444623e+02   
      2.5118870e+03   1.0224059e+01   1.0443627e+02   
      2.3713740e+03   1.0223650e+01   1.0442610e+02   
      2.2387210e+03   1.0223236e+01   1.0441572e+02   
      2.1134890e+03   1.0222817e+01   1.0440510e+02   
      1.9952620e+03   1.0222393e+01   1.0439424e+02   
      1.8836500e+03   1.0221964e+01   1.0438311e+02   
      1.7782790e+03   1.0221529e+01   1.0437169e+02   
      1.6788080e+03   1.0221090e+01   1.0435995e+02   
      1.5848930e+03   1.0220644e+01   1.0434787e+02   
      1.4962350e+03   1.0220193e+01   1.0433543e+02   
      1.4125380e+03   1.0219735e+01   1.0432258e+02   
      1.3335210e+03   1.0219271e+01   1.0430929e+02   
      1.2589290e+03   1.0218802e+01   1.0429552e+02   
      1.1885020e+03   1.0218326e+01   1.0428122e+02   
      1.1220180e+03   1.0217845e+01   1.0426634e+02   
      1.0592540e+03   1.0217348e+01   1.0425084e+02   
      1.0000000e+03   1.0216848e+01   1.0423464e+02   
      9.4406070e+02   1.0216338e+01   1.0421767e+02   
      8.9125300e+02   1.0215838e+01   1.0419983e+02   
      8.4139690e+02   1.0215287e+01   1.0418109e+02   
      7.9432840e+02   1.0214782e+01   1.0416124e+02   
      7.4989420e+02   1.0214181e+01   1.0414037e+02   
      7.0794560e+02   1.0213630e+01   1.0411820e+02   
      6.6834400e+02   1.0213054e+01   1.0409465e+02   
      6.3095730e+02   1.0212465e+01   1.0406957e+02   
      5.9566230e+02   1.0211817e+01   1.0404288e+02   
      5.6234130e+02   1.0211233e+01   1.0401427e+02   
      5.3088430e+02   1.0210534e+01   1.0398374e+02   
      5.0118730e+02   1.0209990e+01   1.0395071e+02   
      4.7315230e+02   1.0209338e+01   1.0391509e+02   
      4.4668470e+02   1.0208642e+01   1.0387667e+02   
      4.2169650e+02   1.0207957e+01   1.0383505e+02   
      3.9810710e+02   1.0207234e+01   1.0378993e+02   
      3.7583910e+02   1.0206488e+01   1.0374093e+02   
      3.5481340e+02   1.0205684e+01   1.0368769e+02   
      3.3496550e+02   1.0204947e+01   1.0362963e+02   
      3.1622780e+02   1.0204086e+01   1.0356629e+02   
      2.9853820e+02   1.0203220e+01   1.0349712e+02   
      2.8183830e+02   1.0203809e+01   1.0341821e+02   
      2.6607250e+02   1.0201324e+01   1.0333504e+02   
      2.5118870e+02   1.0198592e+01   1.0324755e+02   
      2.3713740e+02   1.0198977e+01   1.0314892e+02   
      2.2387270e+02   1.0198190e+01   1.0304020e+02   
      2.1134890e+02   1.0197038e+01   1.0292096e+02   
      1.9952620e+02   1.0196600e+01   1.0278844e+02   
      1.8836580e+02   1.0193405e+01   1.0264703e+02   
      1.7782790e+02   1.0192932e+01   1.0249010e+02   
      1.6788040e+02   1.0191307e+01   1.0231832e+02   
      1.5848930e+02   1.0189543e+01   1.0213038e+02   
      1.4962360e+02   1.0187577e+01   1.0192497e+02   
      1.4125380e+02   1.0185358e+01   1.0170079e+02   
      1.3335210e+02   1.0182873e+01   1.0145645e+02   
      1.2589250e+02   1.0180019e+01   1.0119069e+02   
      1.1885050e+02   1.0176819e+01   1.0090207e+02   
      1.1220210e+02   1.0173117e+01   1.0058937e+02   
      1.0592540e+02   1.0168814e+01   1.0025146e+02   
      1.0000000e+02   1.0163865e+01   9.9887307e+01   
      9.4406090e+01   1.0158084e+01   9.9496130e+01   
      8.9125110e+01   1.0151371e+01   9.9077341e+01   
      8.4139500e+01   1.0143561e+01   9.8630657e+01   
      7.9432820e+01   1.0134494e+01   9.8156152e+01   
      7.4989420e+01   1.0123996e+01   9.7654275e+01   
      7.0794580e+01   1.0111879e+01   9.7125930e+01   
      6.6834400e+01   1.0097969e+01   9.6572474e+01   
      6.3095730e+01   1.0082086e+01   9.5995761e+01   
      5.9566360e+01   1.0064069e+01   9.5398177e+01   
      5.6234130e+01   1.0043773e+01   9.4782472e+01   
      5.3088450e+01   1.0021099e+01   9.4152011e+01   
      5.0118730e+01   9.9959751e+00   9.3510443e+01   
      4.7315120e+01   9.9683907e+00   9.2861757e+01   
      4.4668360e+01   9.9383925e+00   9.2210169e+01
      4.2169650e+01   9.9060859e+00   9.1559993e+01   
      3.9810720e+01   9.8716503e+00   9.0915533e+01   
      3.7583740e+01   9.8353456e+00   9.0280908e+01   
      3.5481330e+01   9.7973764e+00   8.9660160e+01   
      3.3496540e+01   9.7582143e+00   8.9056753e+01   
      3.1622780e+01   9.7181417e+00   8.8473861e+01   
      2.9853890e+01   9.6775942e+00   8.7914115e+01   
      2.8183830e+01   9.6369472e+00   8.7379568e+01   
      2.6607250e+01   9.5965720e+00   8.6871872e+01   
      2.5118860e+01   9.5568099e+00   8.6392119e+01   
      2.3713740e+01   9.5179400e+00   8.5940987e+01   
      2.2387210e+01   9.4802119e+00   8.5518759e+01   
      2.1134890e+01   9.4438290e+00   8.5125385e+01   
      1.9952620e+01   9.4088697e+00   8.4760675e+01   
      1.8836490e+01   9.3754936e+00   8.4424135e+01   
      1.7782790e+01   9.3438140e+00   8.4115026e+01   
      1.6788040e+01   9.3137968e+00   8.3832604e+01   
      1.5848930e+01   9.2856107e+00   8.3575747e+01   
      1.4962350e+01   9.2592516e+00   8.3343263e+01   
      1.4125410e+01   9.2348531e+00   8.3133609e+01   
      1.3335210e+01   9.2124448e+00   8.2945014e+01   
      1.2589250e+01   9.1921627e+00   8.2775359e+01   
      1.1885020e+01   9.1738789e+00   8.2622536e+01   
      1.1220180e+01   9.1578260e+00   8.2483843e+01   
      1.0592540e+01   9.1436441e+00   8.2357005e+01   
      1.0000000e+01   9.1236779e+00   8.2252627e+01   
      8.9125090e+00   9.1119177e+00   8.2034995e+01   
      7.9432870e+00   9.0971669e+00   8.1824020e+01   
      7.0794640e+00   9.0862834e+00   8.1603666e+01   
      6.3095760e+00   9.0776165e+00   8.1361249e+01   
      5.6234130e+00   9.0698437e+00   8.1086776e+01   
      5.0118720e+00   9.0621039e+00   8.0771475e+01   
      4.4668390e+00   9.0537795e+00   8.0407097e+01   
      3.9810720e+00   9.0445534e+00   7.9984868e+01   
      3.5481360e+00   9.0341455e+00   7.9495263e+01   
      3.1622780e+00   9.0221578e+00   7.8928438e+01   
      2.8183830e+00   9.0084290e+00   7.8273037e+01   
      2.5118880e+00   9.0027538e+00   7.7481112e+01   
      2.3713770e+00   8.9977441e+00   7.7064418e+01   
      2.2387220e+00   8.9880995e+00   7.6620532e+01   
      2.1134890e+00   8.9773215e+00   7.6148902e+01   
      1.9952630e+00   8.9652580e+00   7.5649192e+01   
      1.8836500e+00   8.9534892e+00   7.5118038e+01   
      1.7782790e+00   8.9344927e+00   7.4565511e+01   
      1.6788060e+00   8.9196969e+00   7.3982349e+01   
      1.5848930e+00   8.9008098e+00   7.3372684e+01   
      1.4962360e+00   8.8798782e+00   7.2737655e+01   
      1.4125380e+00   8.8566793e+00   7.2078781e+01   
