#  Hindmarsh-Philipsen equation of state C
#  rho=g*(pi^2/30)*T^4    s=gS*(2*pi^2/45)*T^3    p=gP*(pi^2/90)*T^4
#  T[GeV]             sqrt(gstar)             gS
      1.2589250e+04   1.0238615e+01   1.0477091e+02   
      1.1885040e+04   1.0238153e+01   1.0476529e+02   
      1.1220190e+04   1.0237896e+01   1.0475962e+02   
      1.0592560e+04   1.0237637e+01   1.0475392e+02   
      1.0000000e+04   1.0237377e+01   1.0474817e+02   
      9.4406060e+03   1.0237114e+01   1.0474237e+02   
      8.9125300e+03   1.0236850e+01   1.0473653e+02   
      8.4139500e+03   1.0236585e+01   1.0473064e+02   
      7.9432840e+03   1.0236317e+01   1.0472470e+02   
      7.4989420e+03   1.0236048e+01   1.0471871e+02   
      7.0794570e+03   1.0235777e+01   1.0471267e+02   
      6.6834550e+03   1.0235504e+01   1.0470658e+02   
      6.3095860e+03   1.0235229e+01   1.0470042e+02   
      5.9566360e+03   1.0234952e+01   1.0469421e+02   
      5.6234260e+03   1.0234673e+01   1.0468794e+02   
      5.3088430e+03   1.0234393e+01   1.0468160e+02   
      5.0118730e+03   1.0234110e+01   1.0467519e+02   
      4.7315120e+03   1.0233825e+01   1.0466872e+02   
      4.4668370e+03   1.0233538e+01   1.0466217e+02   
      4.2169650e+03   1.0233251e+01   1.0465553e+02   
      3.9810710e+03   1.0232958e+01   1.0464882e+02   
      3.7583750e+03   1.0232665e+01   1.0464201e+02   
      3.5481410e+03   1.0232369e+01   1.0463512e+02   
      3.3496630e+03   1.0232071e+01   1.0462812e+02   
      3.1622850e+03   1.0231770e+01   1.0462101e+02   
      2.9853820e+03   1.0231467e+01   1.0461379e+02   
      2.8183960e+03   1.0231162e+01   1.0460644e+02   
      2.6607250e+03   1.0230854e+01   1.0459896e+02   
      2.5118870e+03   1.0230543e+01   1.0459134e+02   
      2.3713740e+03   1.0230229e+01   1.0458356e+02   
      2.2387210e+03   1.0229912e+01   1.0457561e+02   
      2.1134890e+03   1.0229593e+01   1.0456748e+02   
      1.9952620e+03   1.0229270e+01   1.0455915e+02   
      1.8836500e+03   1.0228944e+01   1.0455060e+02   
      1.7782790e+03   1.0228615e+01   1.0454181e+02   
      1.6788080e+03   1.0228283e+01   1.0453275e+02   
      1.5848930e+03   1.0227946e+01   1.0452342e+02   
      1.4962350e+03   1.0227606e+01   1.0451376e+02   
      1.4125380e+03   1.0227262e+01   1.0450376e+02   
      1.3335210e+03   1.0226913e+01   1.0449338e+02   
      1.2589290e+03   1.0226562e+01   1.0448258e+02   
      1.1885020e+03   1.0226206e+01   1.0447130e+02   
      1.1220180e+03   1.0225847e+01   1.0445951e+02   
      1.0592540e+03   1.0225476e+01   1.0444715e+02   
      1.0000000e+03   1.0225103e+01   1.0443417e+02   
      9.4406070e+02   1.0224723e+01   1.0442049e+02   
      8.9125300e+02   1.0224355e+01   1.0440599e+02   
      8.4139690e+02   1.0223940e+01   1.0439067e+02   
      7.9432840e+02   1.0223573e+01   1.0437432e+02   
      7.4989420e+02   1.0223113e+01   1.0435700e+02   
      7.0794560e+02   1.0222705e+01   1.0433847e+02   
      6.6834400e+02   1.0222276e+01   1.0431863e+02   
      6.3095730e+02   1.0221837e+01   1.0429734e+02   
      5.9566230e+02   1.0221342e+01   1.0427452e+02   
      5.6234130e+02   1.0220913e+01   1.0424986e+02   
      5.3088430e+02   1.0220373e+01   1.0422335e+02   
      5.0118730e+02   1.0219992e+01   1.0419444e+02   
      4.7315230e+02   1.0219506e+01   1.0416303e+02   
      4.4668470e+02   1.0218980e+01   1.0412889e+02   
      4.2169650e+02   1.0218467e+01   1.0409164e+02   
      3.9810710e+02   1.0217922e+01   1.0405099e+02   
      3.7583910e+02   1.0217356e+01   1.0400655e+02   
      3.5481340e+02   1.0216737e+01   1.0395796e+02   
      3.3496550e+02   1.0216188e+01   1.0390464e+02   
      3.1622780e+02   1.0215521e+01   1.0384614e+02   
      2.9853820e+02   1.0214851e+01   1.0378190e+02   
      2.8183830e+02   1.0215646e+01   1.0370800e+02   
      2.6607250e+02   1.0213363e+01   1.0362995e+02   
      2.5118870e+02   1.0210837e+01   1.0354770e+02   
      2.3713740e+02   1.0211443e+01   1.0345439e+02   
      2.2387270e+02   1.0210876e+01   1.0335108e+02   
      2.1134890e+02   1.0209950e+01   1.0323734e+02   
      1.9952620e+02   1.0209741e+01   1.0311043e+02   
      1.8836580e+02   1.0206786e+01   1.0297471e+02   
      1.7782790e+02   1.0206553e+01   1.0282357e+02   
      1.6788040e+02   1.0205175e+01   1.0265766e+02   
      1.5848930e+02   1.0203664e+01   1.0247568e+02   
      1.4962360e+02   1.0201956e+01   1.0227630e+02   
      1.4125380e+02   1.0200003e+01   1.0205824e+02   
      1.3335210e+02   1.0197788e+01   1.0182010e+02   
      1.2589250e+02   1.0195212e+01   1.0156060e+02   
      1.1885050e+02   1.0192295e+01   1.0127832e+02   
      1.1220210e+02   1.0188882e+01   1.0097200e+02   
      1.0592540e+02   1.0184875e+01   1.0064055e+02   
      1.0000000e+02   1.0180227e+01   1.0028290e+02   
      9.4406090e+01   1.0174753e+01   9.9898287e+01   
      8.9125110e+01   1.0168352e+01   9.9486111e+01   
      8.4139500e+01   1.0160861e+01   9.9046093e+01   
      7.9432820e+01   1.0152117e+01   9.8578308e+01   
      7.4989420e+01   1.0141945e+01   9.8083211e+01   
      7.0794580e+01   1.0130159e+01   9.7561711e+01   
      6.6834400e+01   1.0116584e+01   9.7015180e+01   
      6.3095730e+01   1.0101037e+01   9.6445483e+01   
      5.9566360e+01   1.0083359e+01   9.5855024e+01   
      5.6234130e+01   1.0063404e+01   9.5246577e+01   
      5.3088450e+01   1.0041071e+01   9.4623532e+01   
      5.0118730e+01   1.0016291e+01   9.3989568e+01   
      4.7315120e+01   9.9890513e+00   9.3348707e+01   
      4.4668360e+01   9.9593997e+00   9.2705201e+01
      4.2169650e+01   9.9274423e+00   9.2063401e+01   
      3.9810720e+01   9.8933600e+00   9.1427651e+01   
      3.7583740e+01   9.8574145e+00   9.0802108e+01   
      3.5481330e+01   9.8198120e+00   9.0190851e+01   
      3.3496540e+01   9.7810273e+00   8.9597380e+01   
      3.1622780e+01   9.7413453e+00   8.9024901e+01   
      2.9853890e+01   9.7012052e+00   8.8476069e+01   
      2.8183830e+01   9.6609850e+00   8.7952962e+01   
      2.6607250e+01   9.6210597e+00   8.7457249e+01   
      2.5118860e+01   9.5817732e+00   8.6990032e+01   
      2.3713740e+01   9.5434075e+00   8.6551998e+01   
      2.2387210e+01   9.5062137e+00   8.6143431e+01   
      2.1134890e+01   9.4703972e+00   8.5764282e+01   
      1.9952620e+01   9.4360363e+00   8.5414362e+01   
      1.8836490e+01   9.4032915e+00   8.5093172e+01   
      1.7782790e+01   9.3722749e+00   8.4799972e+01   
      1.6788040e+01   9.3429512e+00   8.4534019e+01   
      1.5848930e+01   9.3154881e+00   8.4294193e+01   
      1.4962350e+01   9.2898788e+00   8.4079310e+01   
      1.4125410e+01   9.2662563e+00   8.3887831e+01   
      1.3335210e+01   9.2446471e+00   8.3718001e+01   
      1.2589250e+01   9.2251867e+00   8.3567711e+01   
      1.1885020e+01   9.2077453e+00   8.3434871e+01   
      1.1220180e+01   9.1925555e+00   8.3316796e+01   
      1.0592540e+01   9.1792558e+00   8.3211234e+01   
      1.0000000e+01   9.1635710e+00   8.3123057e+01   
      8.9125090e+00   9.1508479e+00   8.2951001e+01   
      7.9432870e+00   9.1381045e+00   8.2788539e+01   
      7.0794640e+00   9.1293390e+00   8.2619824e+01   
      6.3095760e+00   9.1229174e+00   8.2432357e+01   
      5.6234130e+00   9.1175343e+00   8.2216327e+01   
      5.0118720e+00   9.1123457e+00   8.1963137e+01   
      4.4668390e+00   9.1067508e+00   8.1664694e+01   
      3.9810720e+00   9.1004483e+00   8.1312367e+01   
