# Made with DarkSUSY version ds-4.00-pre3                                      
#..log(deltav). ...table(i)...
 -.23025851E+01 0.10041991E+01
 -.21874558E+01 0.10047273E+01
 -.20723266E+01 0.10053222E+01
 -.19571973E+01 0.10059918E+01
 -.18420681E+01 0.10067454E+01
 -.17269388E+01 0.10075934E+01
 -.16118096E+01 0.10085474E+01
 -.14966803E+01 0.10096205E+01
 -.13815511E+01 0.10108278E+01
 -.12664218E+01 0.10121862E+01
 -.11512925E+01 0.10137149E+01
 -.10361633E+01 0.10154359E+01
 -.92103404E+00 0.10173742E+01
 -.80590478E+00 0.10195582E+01
 -.69077553E+00 0.10220206E+01
 -.57564627E+00 0.10247984E+01
 -.46051702E+00 0.10279344E+01
 -.34538776E+00 0.10314778E+01
 -.23025851E+00 0.10354851E+01
 -.11512925E+00 0.10400218E+01
 0.44408921E-15 0.10451638E+01
 0.11512925E+00 0.10509998E+01
 0.23025851E+00 0.10576334E+01
 0.34538776E+00 0.10651858E+01
 0.46051702E+00 0.10737989E+01
 0.57564627E+00 0.10836371E+01
 0.69077553E+00 0.10948890E+01
 0.80590478E+00 0.11077673E+01
 0.92103404E+00 0.11225102E+01
 0.10361633E+01 0.11393881E+01
 0.11512925E+01 0.11587252E+01
 0.12664218E+01 0.11809613E+01
 0.13815511E+01 0.12068088E+01
 0.14966803E+01 0.12376338E+01
 0.16118096E+01 0.12762882E+01
 0.17269388E+01 0.13286537E+01
 0.18420681E+01 0.14059489E+01
 0.19571973E+01 0.15272655E+01
 0.20147620E+01 0.16129596E+01
 0.20723266E+01 0.17210214E+01
 0.21298912E+01 0.18562315E+01
 0.21874558E+01 0.20235493E+01
 0.22450205E+01 0.22278296E+01
 0.23025851E+01 0.24734773E+01
 0.23313674E+01 0.26129753E+01
 0.23601497E+01 0.27640709E+01
 0.23889320E+01 0.29270162E+01
 0.24177143E+01 0.31019656E+01
 0.24464967E+01 0.32889595E+01
 0.24752790E+01 0.34879186E+01
 0.25040613E+01 0.36986366E+01
 0.25328436E+01 0.39207709E+01
 0.25616259E+01 0.41538385E+01
 0.25904082E+01 0.43972117E+01
 0.26191905E+01 0.46501155E+01
 0.26479729E+01 0.49116374E+01
 0.27055375E+01 0.54561649E+01
 0.27631021E+01 0.60207853E+01
 0.28206667E+01 0.65936344E+01
 0.28782314E+01 0.71614116E+01
 0.29357960E+01 0.77099006E+01
 0.29933606E+01 0.82245610E+01
 0.31084899E+01 0.90963908E+01
 0.32236191E+01 0.96776462E+01
 0.33387484E+01 0.99006150E+01
 0.34538776E+01 0.97397852E+01
 0.35690069E+01 0.92142043E+01
 0.36841361E+01 0.83822000E+01
 0.37417008E+01 0.78775302E+01
 0.37992654E+01 0.73300009E+01
 0.38568300E+01 0.67523856E+01
 0.39143947E+01 0.61573755E+01
 0.39719593E+01 0.55571623E+01
 0.40007416E+01 0.52587059E+01
 0.40295239E+01 0.49630923E+01
 0.40583062E+01 0.46715717E+01
 0.40870885E+01 0.43852873E+01
 0.41158709E+01 0.41052890E+01
 0.41446532E+01 0.38325292E+01
 0.41734355E+01 0.35678591E+01
 0.42022178E+01 0.33120275E+01
 0.42310001E+01 0.30656795E+01
 0.42597824E+01 0.28293568E+01
 0.42885647E+01 0.26034989E+01
 0.43173470E+01 0.23884458E+01
 0.43461294E+01 0.21844402E+01
 0.43749117E+01 0.19916325E+01
 0.44036940E+01 0.18100847E+01
 0.44324763E+01 0.16397759E+01
 0.44612586E+01 0.14806153E+01
 0.44756498E+01 0.14051591E+01
 0.44900409E+01 0.13324198E+01
 0.45044321E+01 0.12623663E+01
 0.45188232E+01 0.11949640E+01
 0.45332144E+01 0.11301749E+01
 0.45476056E+01 0.10679577E+01
 0.45619967E+01 0.10082685E+01
 0.45763879E+01 0.95106057E+00
 0.45907790E+01 0.89628455E+00
 0.46051702E+01 0.84388898E+00
 0.46195613E+01 0.79382032E+00
 0.46339525E+01 0.74602320E+00
 0.46483437E+01 0.70044063E+00
 0.46627348E+01 0.65701423E+00
 0.46771260E+01 0.61568439E+00
 0.46915171E+01 0.57639054E+00
 0.47059083E+01 0.53907126E+00
 0.47202994E+01 0.50366454E+00
 0.47346906E+01 0.47010791E+00
 0.47490818E+01 0.43833867E+00
 0.47634729E+01 0.40829401E+00
 0.47778641E+01 0.37991119E+00
 0.47922552E+01 0.35312769E+00
 0.48066464E+01 0.32788312E+00
 0.48210375E+01 0.30411232E+00
 0.48354287E+01 0.28175610E+00
 0.48498199E+01 0.26075425E+00
 0.48642110E+01 0.24104742E+00
 0.48786022E+01 0.22257727E+00
 0.48929933E+01 0.20528652E+00
 0.49073845E+01 0.18911909E+00
 0.49217756E+01 0.17402012E+00
 0.49361668E+01 0.15993610E+00
 0.49505579E+01 0.14681490E+00
 0.49649491E+01 0.13460586E+00
 0.49793403E+01 0.12325979E+00
 0.49937314E+01 0.11272904E+00
 0.50081226E+01 0.10296756E+00
 0.50225137E+01 0.93930874E-01
 0.50369049E+01 0.85576122E-01
 0.50512960E+01 0.77862088E-01
 0.50656872E+01 0.70749187E-01
 0.50800784E+01 0.64199476E-01
 0.50944695E+01 0.58176642E-01
 0.51088607E+01 0.52646000E-01
 0.51232518E+01 0.47574745E-01
 0.51376430E+01 0.42930812E-01
 0.51520341E+01 0.38684568E-01
 0.51592297E+01 0.36701648E-01
 0.51664253E+01 0.34807620E-01
 0.51736209E+01 0.32999171E-01
 0.51808165E+01 0.31273076E-01
 0.51880120E+01 0.29626207E-01
 0.51952076E+01 0.28055513E-01
 0.52024032E+01 0.26558047E-01
 0.52095988E+01 0.25130937E-01
 0.52167944E+01 0.23771401E-01
 0.52239899E+01 0.22476740E-01
 0.52311855E+01 0.21244340E-01
 0.52383811E+01 0.20071666E-01
 0.52455767E+01 0.18956263E-01
 0.52527722E+01 0.17895756E-01
 0.52599678E+01 0.16887846E-01
 0.52671634E+01 0.15930308E-01
 0.52743590E+01 0.15020994E-01
 0.52815546E+01 0.14157826E-01
 0.52887501E+01 0.13338799E-01
 0.52959457E+01 0.12561975E-01
 0.53031413E+01 0.11825487E-01
 0.53103369E+01 0.11127530E-01
 0.53175324E+01 0.10466368E-01
 0.53247280E+01 0.98403254E-02
 0.53319236E+01 0.92477896E-02
 0.53391192E+01 0.86872077E-02
 0.53463148E+01 0.81570852E-02
 0.53535103E+01 0.76559849E-02
 0.53607059E+01 0.71825251E-02
 0.53679015E+01 0.67353784E-02
 0.53750971E+01 0.63132682E-02
 0.53822927E+01 0.59149720E-02
 0.53894882E+01 0.55393129E-02
 0.53966838E+01 0.51851985E-02
 0.54038794E+01 0.48514820E-02
 0.54110750E+01 0.45371625E-02
 0.54182705E+01 0.42412490E-02
 0.54254661E+01 0.39627929E-02
 0.54326617E+01 0.37008865E-02
 0.54398573E+01 0.34546622E-02
 0.54470529E+01 0.32232904E-02
 0.54542484E+01 0.30059789E-02
 0.54614440E+01 0.28019710E-02
 0.54686396E+01 0.26105448E-02
 0.54758352E+01 0.24310116E-02
 0.54830308E+01 0.22627149E-02
 0.54902263E+01 0.21050292E-02
 0.54974219E+01 0.19573587E-02
 0.55046175E+01 0.18191364E-02
 0.55118131E+01 0.16898227E-02
 0.55190086E+01 0.15689047E-02
 0.55262042E+01 0.14558950E-02
 0.55333998E+01 0.13503304E-02
 0.55405954E+01 0.12517715E-02
 0.55477910E+01 0.11598010E-02
 0.55549865E+01 0.10740235E-02
 0.55621821E+01 0.99406417E-03
 0.55693777E+01 0.91956788E-03
 0.55837689E+01 0.78563782E-03
 0.56413335E+01 0.40945111E-03
 0.57564627E+01 0.99391612E-04
 0.58715920E+01 0.20467543E-04
 0.59867212E+01 0.35067765E-05
 0.61018505E+01 0.48906113E-06
 0.62169798E+01 0.54168213E-07
 0.63321090E+01 0.46347739E-08
