# Made with DarkSUSY version ds-4.00-pre3                                      
#..log(deltav). ...table(i)...
 -.23025851E+01 0.10000199E+01
 -.21874558E+01 0.10000221E+01
 -.20723266E+01 0.10000244E+01
 -.19571973E+01 0.10000270E+01
 -.18420681E+01 0.10000298E+01
 -.17269388E+01 0.10000328E+01
 -.16118096E+01 0.10000360E+01
 -.14966803E+01 0.10000394E+01
 -.13815511E+01 0.10000430E+01
 -.12664218E+01 0.10000467E+01
 -.11512925E+01 0.10000504E+01
 -.10361633E+01 0.10000541E+01
 -.92103404E+00 0.10000575E+01
 -.80590478E+00 0.10000606E+01
 -.69077553E+00 0.10000630E+01
 -.57564627E+00 0.10000644E+01
 -.46051702E+00 0.10000644E+01
 -.34538776E+00 0.10000623E+01
 -.23025851E+00 0.10000574E+01
 -.11512925E+00 0.10000487E+01
 0.44408921E-15 0.10000349E+01
 0.11512925E+00 0.10000141E+01
 0.23025851E+00 0.99998388E+00
 0.34538776E+00 0.99994022E+00
 0.46051702E+00 0.99987567E+00
 0.57564627E+00 0.99977553E+00
 0.69077553E+00 0.99961086E+00
 0.80590478E+00 0.99932768E+00
 0.92103404E+00 0.99883284E+00
 0.10361633E+01 0.99797854E+00
 0.11512925E+01 0.99654891E+00
 0.12664218E+01 0.99425265E+00
 0.13815511E+01 0.99072506E+00
 0.14966803E+01 0.98554073E+00
 0.16118096E+01 0.97823582E+00
 0.17269388E+01 0.96833706E+00
 0.18420681E+01 0.95539232E+00
 0.19571973E+01 0.93899954E+00
 0.20723266E+01 0.91882934E+00
 0.21874558E+01 0.89464025E+00
 0.23025851E+01 0.86628524E+00
 0.24177143E+01 0.83371304E+00
 0.25328436E+01 0.79696468E+00
 0.26479729E+01 0.75617070E+00
 0.27631021E+01 0.71154861E+00
 0.28782314E+01 0.66341022E+00
 0.29933606E+01 0.61217274E+00
 0.31084899E+01 0.55837294E+00
 0.32236191E+01 0.50268633E+00
 0.32811838E+01 0.47438738E+00
 0.33387484E+01 0.44593597E+00
 0.33963130E+01 0.41745740E+00
 0.34538776E+01 0.38908380E+00
 0.35114423E+01 0.36095323E+00
 0.35690069E+01 0.33320866E+00
 0.36265715E+01 0.30599319E+00
 0.36841361E+01 0.27945119E+00
 0.37417008E+01 0.25372344E+00
 0.37992654E+01 0.22894479E+00
 0.38280477E+01 0.21695175E+00
 0.38568300E+01 0.20524191E+00
 0.38856123E+01 0.19382966E+00
 0.39143947E+01 0.18272802E+00
 0.39431770E+01 0.17194901E+00
 0.39719593E+01 0.16150360E+00
 0.40007416E+01 0.15140164E+00
 0.40295239E+01 0.14165181E+00
 0.40583062E+01 0.13226192E+00
 0.40870885E+01 0.12323742E+00
 0.41158709E+01 0.11458349E+00
 0.41446532E+01 0.10630363E+00
 0.41734355E+01 0.98399993E-01
 0.42022178E+01 0.90873364E-01
 0.42310001E+01 0.83723172E-01
 0.42597824E+01 0.76947500E-01
 0.42885647E+01 0.70543366E-01
 0.43173470E+01 0.64505788E-01
 0.43461294E+01 0.58829250E-01
 0.43749117E+01 0.53506833E-01
 0.44036940E+01 0.48530512E-01
 0.44324763E+01 0.43891225E-01
 0.44612586E+01 0.39578958E-01
 0.44756498E+01 0.37542090E-01
 0.44900409E+01 0.35582972E-01
 0.45044321E+01 0.33699859E-01
 0.45188232E+01 0.31891361E-01
 0.45332144E+01 0.30155921E-01
 0.45476056E+01 0.28491944E-01
 0.45619967E+01 0.26897805E-01
 0.45763879E+01 0.25371848E-01
 0.45907790E+01 0.23912396E-01
 0.46051702E+01 0.22517745E-01
 0.46195613E+01 0.21186177E-01
 0.46339525E+01 0.19915957E-01
 0.46483437E+01 0.18705338E-01
 0.46627348E+01 0.17552564E-01
 0.46771260E+01 0.16455941E-01
 0.46915171E+01 0.15413575E-01
 0.47059083E+01 0.14423770E-01
 0.47202994E+01 0.13484769E-01
 0.47346906E+01 0.12594821E-01
 0.47490818E+01 0.11752185E-01
 0.47634729E+01 0.10955136E-01
 0.47778641E+01 0.10201960E-01
 0.47922552E+01 0.94909639E-02
 0.48066464E+01 0.88204753E-02
 0.48210375E+01 0.81888439E-02
 0.48354287E+01 0.75944448E-02
 0.48498199E+01 0.70356807E-02
 0.48642110E+01 0.65110126E-02
 0.48786022E+01 0.60188453E-02
 0.48929933E+01 0.55577039E-02
 0.49073845E+01 0.51261186E-02
 0.49217756E+01 0.47226558E-02
 0.49361668E+01 0.43459188E-02
 0.49505579E+01 0.39945489E-02
 0.49649491E+01 0.36672269E-02
 0.49793403E+01 0.33626735E-02
 0.49937314E+01 0.30796500E-02
 0.50081226E+01 0.28169592E-02
 0.50225137E+01 0.25734452E-02
 0.50369049E+01 0.23480056E-02
 0.50512960E+01 0.21395459E-02
 0.50656872E+01 0.19470479E-02
 0.50800784E+01 0.17695239E-02
 0.50944695E+01 0.16060282E-02
 0.51088607E+01 0.14556561E-02
 0.51232518E+01 0.13175443E-02
 0.51376430E+01 0.11908697E-02
 0.51520341E+01 0.10748491E-02
 0.51664253E+01 0.96873848E-03
 0.51736209E+01 0.91917733E-03
 0.51808165E+01 0.87183194E-03
 0.51880120E+01 0.82661992E-03
 0.51952076E+01 0.78346508E-03
 0.52024032E+01 0.74228168E-03
 0.52095988E+01 0.70299807E-03
 0.52167944E+01 0.66554082E-03
 0.52239899E+01 0.62983864E-03
 0.52311855E+01 0.59582237E-03
 0.52383811E+01 0.56342492E-03
 0.52455767E+01 0.53258127E-03
 0.52527722E+01 0.50322842E-03
 0.52599678E+01 0.47530532E-03
 0.52671634E+01 0.44875288E-03
 0.52743590E+01 0.42351394E-03
 0.52815546E+01 0.39953317E-03
 0.52887501E+01 0.37675710E-03
 0.52959457E+01 0.35513403E-03
 0.53031413E+01 0.33461404E-03
 0.53103369E+01 0.31514891E-03
 0.53175324E+01 0.29669212E-03
 0.53247280E+01 0.27919877E-03
 0.53319236E+01 0.26262557E-03
 0.53391192E+01 0.24693081E-03
 0.53463148E+01 0.23207429E-03
 0.53535103E+01 0.21801846E-03
 0.53607059E+01 0.20472372E-03
 0.53679015E+01 0.19215541E-03
 0.53750971E+01 0.18027909E-03
 0.53822927E+01 0.16906161E-03
 0.53894882E+01 0.15847117E-03
 0.53966838E+01 0.14847719E-03
 0.54038794E+01 0.13905037E-03
 0.54110750E+01 0.13016255E-03
 0.54182705E+01 0.12178677E-03
 0.54254661E+01 0.11389717E-03
 0.54326617E+01 0.10646898E-03
 0.54398573E+01 0.99478503E-04
 0.54686396E+01 0.75454445E-04
 0.55262042E+01 0.42399792E-04
 0.56413335E+01 0.12106496E-04
 0.57564627E+01 0.29833405E-05
 0.58715920E+01 0.62351588E-06
 0.59867212E+01 0.10837878E-06
 0.61018505E+01 0.15326447E-07
 0.62169798E+01 0.17203363E-08
