# Made with DarkSUSY version ds-4.00-pre3                                      
#..log(deltav). ...table(i)...
 -.23025851E+01 0.10025262E+01
 -.21874558E+01 0.10028352E+01
 -.20723266E+01 0.10031820E+01
 -.19571973E+01 0.10035714E+01
 -.18420681E+01 0.10040087E+01
 -.17269388E+01 0.10044997E+01
 -.16118096E+01 0.10050510E+01
 -.14966803E+01 0.10056702E+01
 -.13815511E+01 0.10063658E+01
 -.12664218E+01 0.10071471E+01
 -.11512925E+01 0.10080250E+01
 -.10361633E+01 0.10090116E+01
 -.92103404E+00 0.10101203E+01
 -.80590478E+00 0.10113668E+01
 -.69077553E+00 0.10127683E+01
 -.57564627E+00 0.10143447E+01
 -.46051702E+00 0.10161181E+01
 -.34538776E+00 0.10181139E+01
 -.23025851E+00 0.10203607E+01
 -.11512925E+00 0.10228910E+01
 0.44408921E-15 0.10257420E+01
 0.11512925E+00 0.10289556E+01
 0.23025851E+00 0.10325795E+01
 0.34538776E+00 0.10366673E+01
 0.46051702E+00 0.10412781E+01
 0.57564627E+00 0.10464739E+01
 0.69077553E+00 0.10523148E+01
 0.80590478E+00 0.10588499E+01
 0.92103404E+00 0.10661060E+01
 0.10361633E+01 0.10740728E+01
 0.11512925E+01 0.10826906E+01
 0.12664218E+01 0.10918415E+01
 0.13815511E+01 0.11013472E+01
 0.14966803E+01 0.11109751E+01
 0.16118096E+01 0.11204493E+01
 0.17269388E+01 0.11294630E+01
 0.18420681E+01 0.11376870E+01
 0.19571973E+01 0.11447666E+01
 0.20723266E+01 0.11503045E+01
 0.21874558E+01 0.11538263E+01
 0.23025851E+01 0.11547331E+01
 0.24177143E+01 0.11522503E+01
 0.25328436E+01 0.11453859E+01
 0.26479729E+01 0.11329227E+01
 0.27631021E+01 0.11134580E+01
 0.28782314E+01 0.10855115E+01
 0.29933606E+01 0.10476954E+01
 0.31084899E+01 0.99894338E+00
 0.32236191E+01 0.93875317E+00
 0.33387484E+01 0.86740678E+00
 0.34538776E+01 0.78610329E+00
 0.35114423E+01 0.74235384E+00
 0.35690069E+01 0.69698898E+00
 0.36265715E+01 0.65040626E+00
 0.36841361E+01 0.60303538E+00
 0.37417008E+01 0.55533562E+00
 0.37992654E+01 0.50777872E+00
 0.38568300E+01 0.46083725E+00
 0.39143947E+01 0.41497269E+00
 0.39431770E+01 0.39258066E+00
 0.39719593E+01 0.37061813E+00
 0.40007416E+01 0.34913361E+00
 0.40295239E+01 0.32817264E+00
 0.40583062E+01 0.30777743E+00
 0.40870885E+01 0.28798667E+00
 0.41158709E+01 0.26883527E+00
 0.41446532E+01 0.25035418E+00
 0.41734355E+01 0.23257098E+00
 0.42022178E+01 0.21550684E+00
 0.42310001E+01 0.19918075E+00
 0.42597824E+01 0.18360670E+00
 0.42885647E+01 0.16879438E+00
 0.43173470E+01 0.15474919E+00
 0.43461294E+01 0.14147241E+00
 0.43749117E+01 0.12896125E+00
 0.44036940E+01 0.11720908E+00
 0.44324763E+01 0.10620600E+00
 0.44612586E+01 0.95937455E-01
 0.44900409E+01 0.86386903E-01
 0.45044321E+01 0.81874782E-01
 0.45188232E+01 0.77534512E-01
 0.45332144E+01 0.73363206E-01
 0.45476056E+01 0.69357837E-01
 0.45619967E+01 0.65515242E-01
 0.45763879E+01 0.61832135E-01
 0.45907790E+01 0.58305116E-01
 0.46051702E+01 0.54930682E-01
 0.46195613E+01 0.51705239E-01
 0.46339525E+01 0.48625304E-01
 0.46483437E+01 0.45686734E-01
 0.46627348E+01 0.42885911E-01
 0.46771260E+01 0.40218969E-01
 0.46915171E+01 0.37682000E-01
 0.47059083E+01 0.35271064E-01
 0.47202994E+01 0.32982196E-01
 0.47346906E+01 0.30811418E-01
 0.47490818E+01 0.28754749E-01
 0.47634729E+01 0.26808208E-01
 0.47778641E+01 0.24967829E-01
 0.47922552E+01 0.23229667E-01
 0.48066464E+01 0.21589803E-01
 0.48210375E+01 0.20044357E-01
 0.48354287E+01 0.18589570E-01
 0.48498199E+01 0.17221490E-01
 0.48642110E+01 0.15936464E-01
 0.48786022E+01 0.14730822E-01
 0.48929933E+01 0.13600958E-01
 0.49073845E+01 0.12543342E-01
 0.49217756E+01 0.11554517E-01
 0.49361668E+01 0.10631110E-01
 0.49505579E+01 0.97698324E-02
 0.49649491E+01 0.89674832E-02
 0.49793403E+01 0.82209534E-02
 0.49937314E+01 0.75272273E-02
 0.50081226E+01 0.68833856E-02
 0.50225137E+01 0.62866060E-02
 0.50369049E+01 0.57341949E-02
 0.50512960E+01 0.52234701E-02
 0.50656872E+01 0.47519387E-02
