#......tp...... ...t_diff....
 0.10000000E-01 0.70984150E+01
 0.10471285E-01 0.73984742E+01
 0.10964782E-01 0.77053297E+01
 0.11481536E-01 0.80169196E+01
 0.12022644E-01 0.83363054E+01
 0.12589254E-01 0.86613223E+01
 0.13182567E-01 0.89915530E+01
 0.13803843E-01 0.93265421E+01
 0.14454398E-01 0.96662061E+01
 0.15135612E-01 0.10009274E+02
 0.15848932E-01 0.10355659E+02
 0.16595869E-01 0.10706861E+02
 0.17378008E-01 0.11058243E+02
 0.18197009E-01 0.11411406E+02
 0.19054607E-01 0.11765784E+02
 0.19952623E-01 0.12120859E+02
 0.20892961E-01 0.12476093E+02
 0.21877616E-01 0.12830952E+02
 0.22908677E-01 0.13184503E+02
 0.23988329E-01 0.13537055E+02
 0.25118864E-01 0.13887647E+02
 0.26302680E-01 0.14235807E+02
 0.27542287E-01 0.14578631E+02
 0.28840315E-01 0.14920467E+02
 0.30199517E-01 0.15258401E+02
 0.31622777E-01 0.15591984E+02
 0.33113112E-01 0.15920773E+02
 0.34673685E-01 0.16244350E+02
 0.36307805E-01 0.16562313E+02
 0.38018940E-01 0.16874281E+02
 0.39810717E-01 0.17179894E+02
 0.41686938E-01 0.17483806E+02
 0.43651583E-01 0.17775601E+02
 0.45708819E-01 0.18055693E+02
 0.47863009E-01 0.18332700E+02
 0.50118723E-01 0.18601881E+02
 0.52480746E-01 0.18863014E+02
 0.54954087E-01 0.19118656E+02
 0.57543994E-01 0.19363064E+02
 0.60255959E-01 0.19598910E+02
 0.63095734E-01 0.19826054E+02
 0.66069345E-01 0.20044406E+02
 0.69183097E-01 0.20253877E+02
 0.72443596E-01 0.20454418E+02
 0.75857758E-01 0.20645997E+02
 0.79432823E-01 0.20828612E+02
 0.83176377E-01 0.21002269E+02
 0.87096359E-01 0.21166998E+02
 0.91201084E-01 0.21322883E+02
 0.95499259E-01 0.21469949E+02
 0.10000000E+00 0.21602926E+02
 0.10471285E+00 0.21732816E+02
 0.10964782E+00 0.21854248E+02
 0.11481536E+00 0.21967368E+02
 0.12022644E+00 0.22072340E+02
 0.12589254E+00 0.22169347E+02
 0.13182567E+00 0.22258576E+02
 0.13803843E+00 0.22344636E+02
 0.14454398E+00 0.22418858E+02
 0.15135612E+00 0.22485957E+02
 0.15848932E+00 0.22546169E+02
 0.16595869E+00 0.22599741E+02
 0.17378008E+00 0.22646928E+02
 0.18197009E+00 0.22687995E+02
 0.19054607E+00 0.22720378E+02
 0.19952623E+00 0.22750059E+02
 0.20892961E+00 0.22774438E+02
 0.21877616E+00 0.22793802E+02
 0.22908677E+00 0.22808415E+02
 0.23988329E+00 0.22818571E+02
 0.25118864E+00 0.22824553E+02
 0.26302680E+00 0.22826649E+02
 0.27542287E+00 0.22825138E+02
 0.28840315E+00 0.22820303E+02
 0.30199517E+00 0.22812419E+02
 0.31622777E+00 0.22801764E+02
 0.33113112E+00 0.22788606E+02
