#......tp...... ...t_diff....
 0.10000000E-01 0.23419150E+01
 0.10471285E-01 0.23694534E+01
 0.10964782E-01 0.23963808E+01
 0.11481536E-01 0.24228414E+01
 0.12022644E-01 0.24485091E+01
 0.12589254E-01 0.24734861E+01
 0.13182567E-01 0.24977407E+01
 0.13803843E-01 0.25212430E+01
 0.14454398E-01 0.25439647E+01
 0.15135612E-01 0.25658790E+01
 0.15848932E-01 0.25869610E+01
 0.16595869E-01 0.26071878E+01
 0.17378008E-01 0.26265382E+01
 0.18197009E-01 0.26449928E+01
 0.19054607E-01 0.26625345E+01
 0.19952623E-01 0.26791478E+01
 0.20892961E-01 0.26948194E+01
 0.21877616E-01 0.27095379E+01
 0.22908677E-01 0.27232939E+01
 0.23988329E-01 0.27360800E+01
 0.25118864E-01 0.27478908E+01
 0.26302680E-01 0.27587228E+01
 0.27542287E-01 0.27685744E+01
 0.28840315E-01 0.27774459E+01
 0.30199517E-01 0.27853394E+01
 0.31622777E-01 0.27922590E+01
 0.33113112E-01 0.27982104E+01
 0.34673685E-01 0.28032010E+01
 0.36307805E-01 0.28072400E+01
 0.38018940E-01 0.28103381E+01
 0.39810717E-01 0.28125076E+01
 0.41686938E-01 0.28137622E+01
 0.43651583E-01 0.28141172E+01
 0.45708819E-01 0.28135891E+01
 0.47863009E-01 0.28121957E+01
 0.50118723E-01 0.28099561E+01
 0.52480746E-01 0.28068905E+01
 0.54954087E-01 0.28030203E+01
 0.57543994E-01 0.27983677E+01
 0.60255959E-01 0.27929561E+01
 0.63095734E-01 0.27868095E+01
 0.66069345E-01 0.27799529E+01
 0.69183097E-01 0.27724120E+01
 0.72443596E-01 0.27642130E+01
 0.75857758E-01 0.27553830E+01
 0.79432823E-01 0.27459494E+01
 0.83176377E-01 0.27359399E+01
 0.87096359E-01 0.27253830E+01
 0.91201084E-01 0.27143073E+01
 0.95499259E-01 0.27027415E+01
 0.10000000E+00 0.26907148E+01
 0.10471285E+00 0.26782563E+01
 0.10964782E+00 0.26653953E+01
 0.11481536E+00 0.26521610E+01
 0.12022644E+00 0.26385828E+01
 0.12589254E+00 0.26246897E+01
 0.13182567E+00 0.26105107E+01
 0.13803843E+00 0.25960745E+01
 0.14454398E+00 0.25814098E+01
 0.15135612E+00 0.25665447E+01
 0.15848932E+00 0.25515070E+01
 0.16595869E+00 0.25363243E+01
 0.17378008E+00 0.25210235E+01
 0.18197009E+00 0.25056313E+01
 0.19054607E+00 0.24901736E+01
 0.19952623E+00 0.24746759E+01
 0.20892961E+00 0.24591631E+01
 0.21877616E+00 0.24436594E+01
 0.22908677E+00 0.24281885E+01
 0.23988329E+00 0.24127731E+01
 0.25118864E+00 0.23974355E+01
 0.26302680E+00 0.23821971E+01
 0.27542287E+00 0.23670786E+01
 0.28840315E+00 0.23520998E+01
 0.30199517E+00 0.23372796E+01
 0.31622777E+00 0.23226364E+01
 0.33113112E+00 0.23081875E+01
 0.34673685E+00 0.22939493E+01
 0.36307805E+00 0.22799373E+01
 0.38018940E+00 0.22661663E+01
 0.39810717E+00 0.22526500E+01
 0.41686938E+00 0.22394013E+01
 0.43651583E+00 0.22264320E+01
 0.45708819E+00 0.22137532E+01
 0.47863009E+00 0.22013748E+01
 0.50118723E+00 0.21893061E+01
 0.52480746E+00 0.21775552E+01
 0.54954087E+00 0.21661293E+01
 0.57543994E+00 0.21550349E+01
 0.60255959E+00 0.21442772E+01
 0.63095734E+00 0.21338609E+01
 0.66069345E+00 0.21237895E+01
 0.69183097E+00 0.21140659E+01
 0.72443596E+00 0.21046919E+01
 0.75857758E+00 0.20956685E+01
 0.79432823E+00 0.20869961E+01
 0.83176377E+00 0.20786741E+01
 0.87096359E+00 0.20707012E+01
 0.91201084E+00 0.20630753E+01
 0.95499259E+00 0.20557936E+01
 0.10000000E+01 0.20488528E+01
 0.10471285E+01 0.20422488E+01
 0.10964782E+01 0.20359768E+01
 0.11481536E+01 0.20300316E+01
 0.12022644E+01 0.20244074E+01
 0.12589254E+01 0.20190980E+01
 0.13182567E+01 0.20140965E+01
 0.13803843E+01 0.20093957E+01
 0.14454398E+01 0.20049883E+01
 0.15135612E+01 0.20008662E+01
 0.15848932E+01 0.19970212E+01
