#......tp...... ...t_diff....
 0.10000000E-01 0.63838504E+02
 0.10471285E-01 0.64007923E+02
 0.10964782E-01 0.64157691E+02
 0.11481536E-01 0.64287670E+02
 0.12022644E-01 0.64397760E+02
 0.12589254E-01 0.64488060E+02
 0.13182567E-01 0.64558203E+02
 0.13803843E-01 0.64608360E+02
 0.14454398E-01 0.64638569E+02
 0.15135612E-01 0.64648900E+02
 0.15848932E-01 0.64639459E+02
 0.16595869E-01 0.64610380E+02
 0.17378008E-01 0.64561832E+02
 0.18197009E-01 0.64494014E+02
 0.19054607E-01 0.64407153E+02
 0.19952623E-01 0.64301506E+02
 0.20892961E-01 0.64177358E+02
 0.21877616E-01 0.64035020E+02
 0.22908677E-01 0.63874828E+02
 0.23988329E-01 0.63697142E+02
 0.25118864E-01 0.63502345E+02
 0.26302680E-01 0.63290699E+02
 0.27542287E-01 0.63062916E+02
 0.28840315E-01 0.62819295E+02
 0.30199517E-01 0.62560296E+02
 0.31622777E-01 0.62286397E+02
 0.33113112E-01 0.61998088E+02
 0.34673685E-01 0.61695877E+02
 0.36307805E-01 0.61380279E+02
 0.38018940E-01 0.61051825E+02
 0.39810717E-01 0.60711052E+02
 0.41686938E-01 0.60358506E+02
 0.43651583E-01 0.59994743E+02
 0.45708819E-01 0.59620320E+02
 0.47863009E-01 0.59235803E+02
 0.50118723E-01 0.58841760E+02
 0.52480746E-01 0.58438762E+02
 0.54954087E-01 0.58027382E+02
 0.57543994E-01 0.57608191E+02
 0.60255959E-01 0.57181762E+02
 0.63095734E-01 0.56748665E+02
 0.66069345E-01 0.56309470E+02
 0.69183097E-01 0.55864741E+02
 0.72443596E-01 0.55415039E+02
 0.75857758E-01 0.54960920E+02
 0.79432823E-01 0.54502934E+02
 0.83176377E-01 0.54041626E+02
 0.87096359E-01 0.53577531E+02
 0.91201084E-01 0.53111179E+02
 0.95499259E-01 0.52643091E+02
 0.10000000E+00 0.52173779E+02
 0.10471285E+00 0.51703744E+02
 0.10964782E+00 0.51233479E+02
 0.11481536E+00 0.50763466E+02
 0.12022644E+00 0.50294176E+02
 0.12589254E+00 0.49826068E+02
