#......tp...... ...t_diff....
 0.10000000E-01 0.61876865E+01
 0.10471285E-01 0.65126412E+01
 0.10964782E-01 0.68439911E+01
 0.11481536E-01 0.71952722E+01
 0.12022644E-01 0.75524909E+01
 0.12589254E-01 0.79151474E+01
 0.13182567E-01 0.82743393E+01
 0.13803843E-01 0.86542589E+01
 0.14454398E-01 0.90380534E+01
 0.15135612E-01 0.94161745E+01
 0.15848932E-01 0.98162101E+01
 0.16595869E-01 0.10209116E+02
 0.17378008E-01 0.10613897E+02
 0.18197009E-01 0.11009449E+02
 0.19054607E-01 0.11416340E+02
 0.19952623E-01 0.11823102E+02
 0.20892961E-01 0.12241287E+02
 0.21877616E-01 0.12646909E+02
 0.22908677E-01 0.13063313E+02
 0.23988329E-01 0.13477871E+02
 0.25118864E-01 0.13876578E+02
 0.26302680E-01 0.14285428E+02
 0.27542287E-01 0.14690613E+02
 0.28840315E-01 0.15091068E+02
 0.30199517E-01 0.15411434E+02
 0.31622777E-01 0.15834089E+02
 0.33113112E-01 0.16276156E+02
 0.34673685E-01 0.16653901E+02
 0.36307805E-01 0.17040884E+02
 0.38018940E-01 0.17403830E+02
 0.39810717E-01 0.17776016E+02
 0.41686938E-01 0.18140282E+02
 0.43651583E-01 0.18478498E+02
 0.45708819E-01 0.18825757E+02
 0.47863009E-01 0.19164033E+02
 0.50118723E-01 0.19492905E+02
 0.52480746E-01 0.19812350E+02
 0.54954087E-01 0.20121765E+02
 0.57543994E-01 0.20421005E+02
 0.60255959E-01 0.20710024E+02
 0.63095734E-01 0.20988520E+02
 0.66069345E-01 0.21256445E+02
 0.69183097E-01 0.21534407E+02
 0.72443596E-01 0.21780990E+02
 0.75857758E-01 0.22016680E+02
 0.79432823E-01 0.22241510E+02
 0.83176377E-01 0.22477178E+02
 0.87096359E-01 0.22680480E+02
 0.91201084E-01 0.22894753E+02
 0.95499259E-01 0.23076859E+02
 0.10000000E+00 0.23248087E+02
 0.10471285E+00 0.23431188E+02
 0.10964782E+00 0.23581629E+02
 0.11481536E+00 0.23744578E+02
 0.12022644E+00 0.23874993E+02
 0.12589254E+00 0.24018456E+02
 0.13182567E+00 0.24129559E+02
 0.13803843E+00 0.24254439E+02
 0.14454398E+00 0.24347058E+02
 0.15135612E+00 0.24454280E+02
 0.15848932E+00 0.24552828E+02
 0.16595869E+00 0.24620083E+02
 0.17378008E+00 0.24702691E+02
 0.18197009E+00 0.24777547E+02
 0.19054607E+00 0.24821914E+02
 0.19952623E+00 0.24882612E+02
 0.20892961E+00 0.24936530E+02
 0.21877616E+00 0.24960787E+02
 0.22908677E+00 0.25002506E+02
 0.23988329E+00 0.25038455E+02
 0.25118864E+00 0.25045430E+02
 0.26302680E+00 0.25071113E+02
 0.27542287E+00 0.25091978E+02
 0.28840315E+00 0.25108346E+02
 0.30199517E+00 0.25097118E+02
 0.31622777E+00 0.25105869E+02
 0.33113112E+00 0.25111127E+02
 0.34673685E+00 0.25113144E+02
 0.36307805E+00 0.25112294E+02
 0.38018940E+00 0.25085537E+02
 0.39810717E+00 0.25080118E+02
 0.41686938E+00 0.25072657E+02
 0.43651583E+00 0.25063422E+02
 0.45708819E+00 0.25052720E+02
 0.47863009E+00 0.25017489E+02
 0.50118723E+00 0.25004879E+02
 0.52480746E+00 0.24991545E+02
 0.54954087E+00 0.24977686E+02
 0.57543994E+00 0.24963441E+02
 0.60255959E+00 0.24949144E+02
 0.63095734E+00 0.24934923E+02
 0.66069345E+00 0.24897820E+02
 0.69183097E+00 0.24884543E+02
 0.72443596E+00 0.24871786E+02
 0.75857758E+00 0.24859724E+02
 0.79432823E+00 0.24848462E+02
 0.83176377E+00 0.24838177E+02
 0.87096359E+00 0.24828938E+02
 0.91201084E+00 0.24820853E+02
 0.95499259E+00 0.24813995E+02
 0.10000000E+01 0.24808435E+02
 0.10471285E+01 0.24781361E+02
 0.10964782E+01 0.24778719E+02
 0.11481536E+01 0.24777511E+02
 0.12022644E+01 0.24777772E+02
 0.12589254E+01 0.24779526E+02
 0.13182567E+01 0.24782772E+02
 0.13803843E+01 0.24787521E+02
 0.14454398E+01 0.24793817E+02
 0.15135612E+01 0.24801548E+02
 0.15848932E+01 0.24810753E+02
 0.16595869E+01 0.24821395E+02
 0.17378008E+01 0.24833450E+02
 0.18197009E+01 0.24846899E+02
 0.19054607E+01 0.24861668E+02
 0.19952623E+01 0.24877749E+02
 0.20892961E+01 0.24872237E+02
 0.21877616E+01 0.24890814E+02
 0.22908677E+01 0.24910543E+02
 0.23988329E+01 0.24931340E+02
 0.25118864E+01 0.24953163E+02
 0.26302680E+01 0.24975944E+02
 0.27542287E+01 0.24999637E+02
 0.28840315E+01 0.25024185E+02
 0.30199517E+01 0.25049524E+02
 0.31622777E+01 0.25075593E+02
 0.33113112E+01 0.24948884E+02
 0.34673685E+01 0.24803296E+02
 0.36307805E+01 0.24625270E+02
 0.38018940E+01 0.24460659E+02
 0.39810717E+01 0.24286783E+02
 0.41686938E+01 0.24103825E+02
 0.43651583E+01 0.23912208E+02
 0.45708819E+01 0.23690586E+02
 0.47863009E+01 0.23483149E+02
 0.50118723E+01 0.23268062E+02
 0.52480746E+01 0.23045690E+02
 0.54954087E+01 0.22816327E+02
 0.57543994E+01 0.22580394E+02
 0.60255959E+01 0.22338236E+02
 0.63095734E+01 0.22070324E+02
 0.66069345E+01 0.21817281E+02
 0.69183097E+01 0.21559102E+02
 0.72443596E+01 0.21296143E+02
 0.75857758E+01 0.21028762E+02
 0.79432823E+01 0.20757341E+02
 0.83176377E+01 0.20482203E+02
 0.87096359E+01 0.20185516E+02
 0.91201084E+01 0.19904503E+02
 0.95499259E+01 0.19620825E+02
 0.10000000E+02 0.19334823E+02
 0.10471285E+02 0.19046817E+02
 0.10964782E+02 0.18757132E+02
 0.11481536E+02 0.18466111E+02
 0.12022644E+02 0.18174044E+02
 0.12589254E+02 0.17881227E+02
 0.13182567E+02 0.17587969E+02
 0.13803843E+02 0.17279010E+02
 0.14454398E+02 0.16986048E+02
 0.15135612E+02 0.16693438E+02
 0.15848932E+02 0.16401441E+02
 0.16595869E+02 0.16110265E+02
 0.17378008E+02 0.15820164E+02
 0.18197009E+02 0.15531351E+02
 0.19054607E+02 0.15244032E+02
 0.19952623E+02 0.14958409E+02
 0.20892961E+02 0.14674664E+02
 0.21877616E+02 0.14392976E+02
 0.22908677E+02 0.14113511E+02
 0.23988329E+02 0.13836430E+02
 0.25118864E+02 0.13561879E+02
 0.26302680E+02 0.13278119E+02
 0.27542287E+02 0.13009346E+02
 0.28840315E+02 0.12743464E+02
 0.30199517E+02 0.12480581E+02
 0.31622777E+02 0.12220825E+02
 0.33113112E+02 0.11964259E+02
 0.34673685E+02 0.11710965E+02
 0.36307805E+02 0.11461046E+02
 0.38018940E+02 0.11214537E+02
 0.39810717E+02 0.10971514E+02
 0.41686938E+02 0.10732021E+02
 0.43651583E+02 0.10496105E+02
 0.45708819E+02 0.10263804E+02
 0.47863009E+02 0.10035150E+02
 0.50118723E+02 0.98101680E+01
 0.52480746E+02 0.95888798E+01
 0.54954087E+02 0.93712973E+01
 0.57543994E+02 0.91574325E+01
 0.60255959E+02 0.89472857E+01
 0.63095734E+02 0.87408635E+01
 0.66069345E+02 0.85381538E+01
 0.69183097E+02 0.83391553E+01
 0.72443596E+02 0.81438496E+01
 0.75857758E+02 0.79522230E+01
 0.79432823E+02 0.77642559E+01
 0.83176377E+02 0.75731957E+01
 0.87096359E+02 0.73926588E+01
 0.91201084E+02 0.72157039E+01
 0.95499259E+02 0.70422899E+01
 0.10000000E+03 0.68723941E+01
 0.10471285E+03 0.67059831E+01
 0.10964782E+03 0.65430133E+01
 0.11481536E+03 0.63834517E+01
 0.12022644E+03 0.62272489E+01
 0.12589254E+03 0.60743709E+01
 0.13182567E+03 0.59247793E+01
 0.13803843E+03 0.57784211E+01
 0.14454398E+03 0.56352539E+01
 0.15135612E+03 0.54952326E+01
 0.15848932E+03 0.53583124E+01
 0.16595869E+03 0.52244424E+01
 0.17378008E+03 0.50935755E+01
 0.18197009E+03 0.49656611E+01
 0.19054607E+03 0.48406613E+01
 0.19952623E+03 0.47185169E+01
 0.20892961E+03 0.45991764E+01
 0.21877616E+03 0.44825945E+01
 0.22908677E+03 0.43687294E+01
 0.23988329E+03 0.42575229E+01
 0.25118864E+03 0.41489236E+01
 0.26302680E+03 0.40428880E+01
 0.27542287E+03 0.39393681E+01
 0.28840315E+03 0.38383131E+01
 0.30199517E+03 0.37396709E+01
 0.31622777E+03 0.36433979E+01
 0.33113112E+03 0.35494490E+01
 0.34673685E+03 0.34577734E+01
 0.36307805E+03 0.33683214E+01
 0.38018940E+03 0.32810508E+01
 0.39810717E+03 0.31959181E+01
 0.41686938E+03 0.31128748E+01
 0.43651583E+03 0.30318732E+01
 0.45708819E+03 0.29528754E+01
 0.47863009E+03 0.28758355E+01
 0.50118723E+03 0.28007072E+01
 0.52480746E+03 0.27274538E+01
 0.54954087E+03 0.26560315E+01
 0.57543994E+03 0.25863960E+01
 0.60255959E+03 0.25185121E+01
 0.63095734E+03 0.24523369E+01
 0.66069345E+03 0.23878323E+01
 0.69183097E+03 0.23249607E+01
 0.72443596E+03 0.22636827E+01
 0.75857758E+03 0.22039619E+01
 0.79432823E+03 0.21457632E+01
 0.83176377E+03 0.20890488E+01
 0.87096359E+03 0.20337835E+01
 0.91201084E+03 0.19799372E+01
 0.95499259E+03 0.19274710E+01
 0.10000000E+04 0.18763529E+01
