#......tp...... ...t_diff....
 0.10000000E-01 0.30411188E+01
 0.10471285E-01 0.31003323E+01
 0.10964782E-01 0.31592089E+01
 0.11481536E-01 0.32182402E+01
 0.12022644E-01 0.32770588E+01
 0.12589254E-01 0.33352937E+01
 0.13182567E-01 0.33934555E+01
 0.13803843E-01 0.34508575E+01
 0.14454398E-01 0.35080471E+01
 0.15135612E-01 0.35646305E+01
 0.15848932E-01 0.36202090E+01
 0.16595869E-01 0.36753603E+01
 0.17378008E-01 0.37296814E+01
 0.18197009E-01 0.37831011E+01
 0.19054607E-01 0.38352205E+01
 0.19952623E-01 0.38866404E+01
 0.20892961E-01 0.39369594E+01
 0.21877616E-01 0.39857681E+01
 0.22908677E-01 0.40337117E+01
 0.23988329E-01 0.40803792E+01
 0.25118864E-01 0.41257184E+01
 0.26302680E-01 0.41693198E+01
 0.27542287E-01 0.42118671E+01
 0.28840315E-01 0.42529497E+01
 0.30199517E-01 0.42925293E+01
 0.31622777E-01 0.43301940E+01
 0.33113112E-01 0.43666754E+01
 0.34673685E-01 0.44015606E+01
 0.36307805E-01 0.44348260E+01
 0.38018940E-01 0.44664521E+01
 0.39810717E-01 0.44960353E+01
 0.41686938E-01 0.45243462E+01
 0.43651583E-01 0.45509804E+01
 0.45708819E-01 0.45759328E+01
 0.47863009E-01 0.45992022E+01
 0.50118723E-01 0.46207907E+01
 0.52480746E-01 0.46403103E+01
 0.54954087E-01 0.46585653E+01
 0.57543994E-01 0.46751662E+01
 0.60255959E-01 0.46901283E+01
 0.63095734E-01 0.47034702E+01
 0.66069345E-01 0.47152135E+01
 0.69183097E-01 0.47253827E+01
 0.72443596E-01 0.47336090E+01
 0.75857758E-01 0.47407220E+01
 0.79432823E-01 0.47463500E+01
 0.83176377E-01 0.47505276E+01
 0.87096359E-01 0.47532917E+01
 0.91201084E-01 0.47546813E+01
 0.95499259E-01 0.47547373E+01
 0.10000000E+00 0.47535024E+01
 0.10471285E+00 0.47506247E+01
 0.10964782E+00 0.47469504E+01
 0.11481536E+00 0.47421224E+01
 0.12022644E+00 0.47361894E+01
 0.12589254E+00 0.47292009E+01
 0.13182567E+00 0.47212073E+01
 0.13803843E+00 0.47122599E+01
 0.14454398E+00 0.47024107E+01
 0.15135612E+00 0.46917121E+01
 0.15848932E+00 0.46802168E+01
 0.16595869E+00 0.46675891E+01
 0.17378008E+00 0.46546667E+01
 0.18197009E+00 0.46411068E+01
 0.19054607E+00 0.46269622E+01
 0.19952623E+00 0.46122858E+01
 0.20892961E+00 0.45971297E+01
 0.21877616E+00 0.45815457E+01
 0.22908677E+00 0.45655849E+01
 0.23988329E+00 0.45492978E+01
 0.25118864E+00 0.45327338E+01
 0.26302680E+00 0.45159416E+01
 0.27542287E+00 0.44989687E+01
 0.28840315E+00 0.44818614E+01
 0.30199517E+00 0.44646651E+01
 0.31622777E+00 0.44474236E+01
 0.33113112E+00 0.44298147E+01
 0.34673685E+00 0.44126140E+01
 0.36307805E+00 0.43954910E+01
 0.38018940E+00 0.43784837E+01
 0.39810717E+00 0.43616284E+01
 0.41686938E+00 0.43449598E+01
 0.43651583E+00 0.43285106E+01
 0.45708819E+00 0.43123120E+01
 0.47863009E+00 0.42963933E+01
 0.50118723E+00 0.42807820E+01
 0.52480746E+00 0.42655037E+01
 0.54954087E+00 0.42505821E+01
 0.57543994E+00 0.42360389E+01
 0.60255959E+00 0.42218943E+01
 0.63095734E+00 0.42081661E+01
 0.66069345E+00 0.41948706E+01
 0.69183097E+00 0.41820220E+01
 0.72443596E+00 0.41696329E+01
 0.75857758E+00 0.41577138E+01
 0.79432823E+00 0.41462735E+01
 0.83176377E+00 0.41353192E+01
 0.87096359E+00 0.41248561E+01
 0.91201084E+00 0.41148880E+01
 0.95499259E+00 0.41054170E+01
 0.10000000E+01 0.40964436E+01
 0.10471285E+01 0.40879668E+01
 0.10964782E+01 0.40796501E+01
 0.11481536E+01 0.40721602E+01
 0.12022644E+01 0.40651556E+01
 0.12589254E+01 0.40586301E+01
 0.13182567E+01 0.40525764E+01
 0.13803843E+01 0.40469859E+01
 0.14454398E+01 0.40418494E+01
 0.15135612E+01 0.40371566E+01
 0.15848932E+01 0.40328963E+01
 0.16595869E+01 0.40290568E+01
 0.17378008E+01 0.40256257E+01
 0.18197009E+01 0.40225899E+01
 0.19054607E+01 0.40199361E+01
 0.19952623E+01 0.40176505E+01
 0.20892961E+01 0.40157188E+01
 0.21877616E+01 0.40121524E+01
 0.22908677E+01 0.40108913E+01
 0.23988329E+01 0.40099403E+01
 0.25118864E+01 0.40092847E+01
 0.26302680E+01 0.40089097E+01
 0.27542287E+01 0.40088008E+01
 0.28840315E+01 0.40089436E+01
 0.30199517E+01 0.40093238E+01
 0.31622777E+01 0.40099275E+01
 0.33113112E+01 0.39710343E+01
 0.34673685E+01 0.39290624E+01
 0.36307805E+01 0.38863321E+01
 0.38018940E+01 0.38428813E+01
 0.39810717E+01 0.37987485E+01
 0.41686938E+01 0.37539727E+01
 0.43651583E+01 0.37085932E+01
 0.45708819E+01 0.36626501E+01
 0.47863009E+01 0.36161835E+01
 0.50118723E+01 0.35692341E+01
 0.52480746E+01 0.35218426E+01
 0.54954087E+01 0.34740502E+01
 0.57543994E+01 0.34258979E+01
 0.60255959E+01 0.33774267E+01
 0.63095734E+01 0.33286777E+01
 0.66069345E+01 0.32796917E+01
 0.69183097E+01 0.32305091E+01
 0.72443596E+01 0.31811702E+01
 0.75857758E+01 0.31317147E+01
 0.79432823E+01 0.30821816E+01
 0.83176377E+01 0.30326095E+01
 0.87096359E+01 0.29830362E+01
 0.91201084E+01 0.29334986E+01
 0.95499259E+01 0.28840330E+01
 0.10000000E+02 0.28346746E+01
 0.10471285E+02 0.27854574E+01
 0.10964782E+02 0.27364147E+01
 0.11481536E+02 0.26875786E+01
 0.12022644E+02 0.26389799E+01
 0.12589254E+02 0.25906483E+01
 0.13182567E+02 0.25426125E+01
 0.13803843E+02 0.24948995E+01
 0.14454398E+02 0.24475354E+01
 0.15135612E+02 0.24005450E+01
 0.15848932E+02 0.23539516E+01
 0.16595869E+02 0.23077774E+01
 0.17378008E+02 0.22620432E+01
 0.18197009E+02 0.22167685E+01
 0.19054607E+02 0.21719717E+01
 0.19952623E+02 0.21276696E+01
 0.20892961E+02 0.20838782E+01
 0.21877616E+02 0.20406118E+01
 0.22908677E+02 0.19978837E+01
 0.23988329E+02 0.19557062E+01
 0.25118864E+02 0.19140902E+01
 0.26302680E+02 0.18730456E+01
 0.27542287E+02 0.18325810E+01
 0.28840315E+02 0.17927044E+01
 0.30199517E+02 0.17534222E+01
 0.31622777E+02 0.17147403E+01
 0.33113112E+02 0.16766635E+01
 0.34673685E+02 0.16391955E+01
 0.36307805E+02 0.16023395E+01
 0.38018940E+02 0.15660974E+01
 0.39810717E+02 0.15304708E+01
 0.41686938E+02 0.14954603E+01
 0.43651583E+02 0.14610656E+01
 0.45708819E+02 0.14272862E+01
 0.47863009E+02 0.13941204E+01
 0.50118723E+02 0.13615664E+01
 0.52480746E+02 0.13296216E+01
 0.54954087E+02 0.12982827E+01
 0.57543994E+02 0.12675462E+01
 0.60255959E+02 0.12374080E+01
 0.63095734E+02 0.12078635E+01
 0.66069345E+02 0.11789078E+01
 0.69183097E+02 0.11505356E+01
 0.72443596E+02 0.11227413E+01
 0.75857758E+02 0.10955189E+01
 0.79432823E+02 0.10688620E+01
 0.83176377E+02 0.10427643E+01
 0.87096359E+02 0.10172188E+01
 0.91201084E+02 0.99221869E+00
 0.95499259E+02 0.96775672E+00
 0.10000000E+03 0.94382554E+00
 0.10471285E+03 0.92041765E+00
 0.10964782E+03 0.89752541E+00
 0.11481536E+03 0.87514106E+00
 0.12022644E+03 0.85325675E+00
 0.12589254E+03 0.83186456E+00
 0.13182567E+03 0.81095648E+00
 0.13803843E+03 0.79052445E+00
 0.14454398E+03 0.77056040E+00
 0.15135612E+03 0.75105621E+00
 0.15848932E+03 0.73200375E+00
 0.16595869E+03 0.71339490E+00
 0.17378008E+03 0.69522154E+00
 0.18197009E+03 0.67747558E+00
 0.19054607E+03 0.66014893E+00
 0.19952623E+03 0.64323357E+00
 0.20892961E+03 0.62672151E+00
 0.21877616E+03 0.61060482E+00
 0.22908677E+03 0.59487560E+00
 0.23988329E+03 0.57952606E+00
 0.25118864E+03 0.56454845E+00
 0.26302680E+03 0.54993510E+00
 0.27542287E+03 0.53567841E+00
 0.28840315E+03 0.52177090E+00
 0.30199517E+03 0.50820515E+00
 0.31622777E+03 0.49497382E+00
 0.33113112E+03 0.48206970E+00
 0.34673685E+03 0.46948566E+00
 0.36307805E+03 0.45721466E+00
 0.38018940E+03 0.44524978E+00
 0.39810717E+03 0.43358420E+00
 0.41686938E+03 0.42221119E+00
 0.43651583E+03 0.41112414E+00
 0.45708819E+03 0.40031656E+00
 0.47863009E+03 0.38978204E+00
 0.50118723E+03 0.37951430E+00
 0.52480746E+03 0.36950717E+00
 0.54954087E+03 0.35975457E+00
 0.57543994E+03 0.35025056E+00
 0.60255959E+03 0.34098928E+00
 0.63095734E+03 0.33196500E+00
 0.66069345E+03 0.32317210E+00
 0.69183097E+03 0.31460505E+00
 0.72443596E+03 0.30625844E+00
 0.75857758E+03 0.29812697E+00
 0.79432823E+03 0.29020545E+00
 0.83176377E+03 0.28248878E+00
 0.87096359E+03 0.27497198E+00
 0.91201084E+03 0.26765016E+00
 0.95499259E+03 0.26051855E+00
 0.10000000E+04 0.25357247E+00
