#......tp...... ...t_diff....
 0.10000000E-01 0.23408156E+02
 0.10471285E-01 0.23483300E+02
 0.10964782E-01 0.23554144E+02
 0.11481536E-01 0.23620538E+02
 0.12022644E-01 0.23682340E+02
 0.12589254E-01 0.23739414E+02
 0.13182567E-01 0.23791637E+02
 0.13803843E-01 0.23838890E+02
 0.14454398E-01 0.23881067E+02
 0.15135612E-01 0.23918070E+02
 0.15848932E-01 0.23949812E+02
 0.16595869E-01 0.23976215E+02
 0.17378008E-01 0.23997211E+02
 0.18197009E-01 0.24012745E+02
 0.19054607E-01 0.24022771E+02
 0.19952623E-01 0.24027251E+02
 0.20892961E-01 0.24026162E+02
 0.21877616E-01 0.24019489E+02
 0.22908677E-01 0.24007229E+02
 0.23988329E-01 0.23989388E+02
 0.25118864E-01 0.23965983E+02
 0.26302680E-01 0.23937041E+02
 0.27542287E-01 0.23902600E+02
 0.28840315E-01 0.23862706E+02
 0.30199517E-01 0.23817416E+02
 0.31622777E-01 0.23766796E+02
 0.33113112E-01 0.23710921E+02
 0.34673685E-01 0.23649875E+02
 0.36307805E-01 0.23583750E+02
 0.38018940E-01 0.23512647E+02
 0.39810717E-01 0.23436673E+02
 0.41686938E-01 0.23355945E+02
 0.43651583E-01 0.23270585E+02
 0.45708819E-01 0.23180723E+02
 0.47863009E-01 0.23086494E+02
 0.50118723E-01 0.22988041E+02
 0.52480746E-01 0.22885512E+02
 0.54954087E-01 0.22779058E+02
 0.57543994E-01 0.22668837E+02
 0.60255959E-01 0.22555012E+02
 0.63095734E-01 0.22437748E+02
 0.66069345E-01 0.22317214E+02
 0.69183097E-01 0.22193585E+02
 0.72443596E-01 0.22067035E+02
 0.75857758E-01 0.21937743E+02
 0.79432823E-01 0.21805889E+02
 0.83176377E-01 0.21671655E+02
 0.87096359E-01 0.21535224E+02
 0.91201084E-01 0.21396781E+02
 0.95499259E-01 0.21256510E+02
 0.10000000E+00 0.21114597E+02
 0.10471285E+00 0.20971227E+02
 0.10964782E+00 0.20826584E+02
 0.11481536E+00 0.20680853E+02
 0.12022644E+00 0.20534216E+02
 0.12589254E+00 0.20386855E+02
 0.13182567E+00 0.20238950E+02
 0.13803843E+00 0.20090678E+02
 0.14454398E+00 0.19942216E+02
 0.15135612E+00 0.19793735E+02
 0.15848932E+00 0.19645407E+02
 0.16595869E+00 0.19497398E+02
 0.17378008E+00 0.19349873E+02
 0.18197009E+00 0.19202991E+02
 0.19054607E+00 0.19056909E+02
 0.19952623E+00 0.18911780E+02
 0.20892961E+00 0.18767753E+02
 0.21877616E+00 0.18624970E+02
 0.22908677E+00 0.18483571E+02
 0.23988329E+00 0.18343691E+02
 0.25118864E+00 0.18205459E+02
 0.26302680E+00 0.18069001E+02
 0.27542287E+00 0.17934434E+02
 0.28840315E+00 0.17801873E+02
 0.30199517E+00 0.17671427E+02
 0.31622777E+00 0.17543197E+02
 0.33113112E+00 0.17417281E+02
 0.34673685E+00 0.17293770E+02
 0.36307805E+00 0.17172748E+02
 0.38018940E+00 0.17054296E+02
