#......tp...... ...t_diff....
 0.10000000E-01 0.91061685E+01
 0.10471285E-01 0.91697185E+01
 0.10964782E-01 0.92319880E+01
 0.11481536E-01 0.92928674E+01
 0.12022644E-01 0.93522491E+01
 0.12589254E-01 0.94100287E+01
 0.13182567E-01 0.94661049E+01
 0.13803843E-01 0.95203802E+01
 0.14454398E-01 0.95727606E+01
 0.15135612E-01 0.96231565E+01
 0.15848932E-01 0.96714827E+01
 0.16595869E-01 0.97176585E+01
 0.17378008E-01 0.97616081E+01
 0.18197009E-01 0.98032610E+01
 0.19054607E-01 0.98425516E+01
 0.19952623E-01 0.98794199E+01
 0.20892961E-01 0.99138113E+01
 0.21877616E-01 0.99456767E+01
 0.22908677E-01 0.99749729E+01
 0.23988329E-01 0.10001662E+02
 0.25118864E-01 0.10025713E+02
 0.26302680E-01 0.10047099E+02
 0.27542287E-01 0.10065800E+02
 0.28840315E-01 0.10081801E+02
 0.30199517E-01 0.10095094E+02
 0.31622777E-01 0.10105675E+02
 0.33113112E-01 0.10113547E+02
 0.34673685E-01 0.10118717E+02
 0.36307805E-01 0.10121423E+02
 0.38018940E-01 0.10121231E+02
 0.39810717E-01 0.10118392E+02
 0.41686938E-01 0.10112936E+02
 0.43651583E-01 0.10104895E+02
 0.45708819E-01 0.10094308E+02
 0.47863009E-01 0.10081218E+02
 0.50118723E-01 0.10065670E+02
 0.52480746E-01 0.10047717E+02
 0.54954087E-01 0.10027413E+02
 0.57543994E-01 0.10004816E+02
 0.60255959E-01 0.99799887E+01
 0.63095734E-01 0.99529970E+01
 0.66069345E-01 0.99239091E+01
 0.69183097E-01 0.98927966E+01
 0.72443596E-01 0.98597337E+01
 0.75857758E-01 0.98247972E+01
 0.79432823E-01 0.97880659E+01
 0.83176377E-01 0.97496210E+01
 0.87096359E-01 0.97095453E+01
 0.91201084E-01 0.96679232E+01
 0.95499259E-01 0.96248408E+01
 0.10000000E+00 0.95803851E+01
 0.10471285E+00 0.95346442E+01
 0.10964782E+00 0.94877070E+01
 0.11481536E+00 0.94396631E+01
 0.12022644E+00 0.93906023E+01
 0.12589254E+00 0.93406147E+01
 0.13182567E+00 0.92897905E+01
 0.13803843E+00 0.92382194E+01
 0.14454398E+00 0.91859913E+01
 0.15135612E+00 0.91331949E+01
 0.15848932E+00 0.90799188E+01
 0.16595869E+00 0.90262502E+01
 0.17378008E+00 0.89722757E+01
 0.18197009E+00 0.89180803E+01
 0.19054607E+00 0.88637481E+01
 0.19952623E+00 0.88093613E+01
 0.20892961E+00 0.87550007E+01
 0.21877616E+00 0.87007451E+01
 0.22908677E+00 0.86466718E+01
 0.23988329E+00 0.85928555E+01
 0.25118864E+00 0.85391063E+01
 0.26302680E+00 0.84860247E+01
 0.27542287E+00 0.84334119E+01
 0.28840315E+00 0.83813337E+01
 0.30199517E+00 0.83298532E+01
 0.31622777E+00 0.82790310E+01
 0.33113112E+00 0.82289250E+01
 0.34673685E+00 0.81795903E+01
 0.36307805E+00 0.81310790E+01
 0.38018940E+00 0.80834403E+01
 0.39810717E+00 0.80367205E+01
 0.41686938E+00 0.79909630E+01
 0.43651583E+00 0.79462078E+01
 0.45708819E+00 0.79024920E+01
 0.47863009E+00 0.78598496E+01
 0.50118723E+00 0.78183115E+01
 0.52480746E+00 0.77779052E+01
 0.54954087E+00 0.77386554E+01
 0.57543994E+00 0.77005835E+01
 0.60255959E+00 0.76637077E+01
 0.63095734E+00 0.76280433E+01
 0.66069345E+00 0.75936025E+01
 0.69183097E+00 0.75603944E+01
 0.72443596E+00 0.75284251E+01
 0.75857758E+00 0.74976980E+01
 0.79432823E+00 0.74682135E+01
 0.83176377E+00 0.74399693E+01
 0.87096359E+00 0.74129605E+01
 0.91201084E+00 0.73871795E+01
 0.95499259E+00 0.73626163E+01
 0.10000000E+01 0.73392585E+01
 0.10471285E+01 0.73170913E+01
 0.10964782E+01 0.72960980E+01
 0.11481536E+01 0.72762597E+01
 0.12022644E+01 0.72575558E+01
 0.12589254E+01 0.72399636E+01
 0.13182567E+01 0.72234591E+01
 0.13803843E+01 0.72080166E+01
 0.14454398E+01 0.71936092E+01
 0.15135612E+01 0.71802087E+01
 0.15848932E+01 0.71677859E+01
 0.16595869E+01 0.71563107E+01
 0.17378008E+01 0.71457520E+01
 0.18197009E+01 0.71360782E+01
 0.19054607E+01 0.71272574E+01
 0.19952623E+01 0.71192570E+01
 0.20892961E+01 0.71120444E+01
 0.21877616E+01 0.71055866E+01
 0.22908677E+01 0.70998509E+01
 0.23988329E+01 0.70948045E+01
 0.25118864E+01 0.70904150E+01
 0.26302680E+01 0.70866501E+01
 0.27542287E+01 0.70834781E+01
 0.28840315E+01 0.70808678E+01
 0.30199517E+01 0.70787883E+01
 0.31622777E+01 0.70772097E+01
 0.33113112E+01 0.69904760E+01
 0.34673685E+01 0.68982512E+01
 0.36307805E+01 0.68055402E+01
 0.38018940E+01 0.67123927E+01
 0.39810717E+01 0.66188593E+01
 0.41686938E+01 0.65249915E+01
 0.43651583E+01 0.64308413E+01
 0.45708819E+01 0.63364616E+01
 0.47863009E+01 0.62419057E+01
 0.50118723E+01 0.61472273E+01
 0.52480746E+01 0.60524803E+01
 0.54954087E+01 0.59577190E+01
 0.57543994E+01 0.58629974E+01
 0.60255959E+01 0.57683696E+01
 0.63095734E+01 0.56738892E+01
 0.66069345E+01 0.55796096E+01
 0.69183097E+01 0.54855834E+01
 0.72443596E+01 0.53918626E+01
 0.75857758E+01 0.52984983E+01
 0.79432823E+01 0.52055407E+01
 0.83176377E+01 0.51130388E+01
 0.87096359E+01 0.50210405E+01
 0.91201084E+01 0.49295923E+01
 0.95499259E+01 0.48387392E+01
 0.10000000E+02 0.47485248E+01
 0.10471285E+02 0.46589910E+01
 0.10964782E+02 0.45701781E+01
 0.11481536E+02 0.44821247E+01
 0.12022644E+02 0.43948675E+01
 0.12589254E+02 0.43084415E+01
 0.13182567E+02 0.42228798E+01
 0.13803843E+02 0.41382135E+01
 0.14454398E+02 0.40544720E+01
 0.15135612E+02 0.39716827E+01
 0.15848932E+02 0.38898710E+01
 0.16595869E+02 0.38090604E+01
 0.17378008E+02 0.37292728E+01
 0.18197009E+02 0.36505279E+01
 0.19054607E+02 0.35728438E+01
 0.19952623E+02 0.34962365E+01
 0.20892961E+02 0.34207205E+01
 0.21877616E+02 0.33463085E+01
 0.22908677E+02 0.32730115E+01
 0.23988329E+02 0.32008387E+01
 0.25118864E+02 0.31297981E+01
 0.26302680E+02 0.30598958E+01
 0.27542287E+02 0.29911365E+01
 0.28840315E+02 0.29235236E+01
 0.30199517E+02 0.28570591E+01
 0.31622777E+02 0.27917436E+01
 0.33113112E+02 0.27275766E+01
 0.34673685E+02 0.26645562E+01
 0.36307805E+02 0.26026795E+01
 0.38018940E+02 0.25419427E+01
 0.39810717E+02 0.24823406E+01
 0.41686938E+02 0.24238674E+01
 0.43651583E+02 0.23665163E+01
 0.45708819E+02 0.23102796E+01
 0.47863009E+02 0.22551488E+01
 0.50118723E+02 0.22011148E+01
 0.52480746E+02 0.21481676E+01
 0.54954087E+02 0.20962969E+01
 0.57543994E+02 0.20454915E+01
 0.60255959E+02 0.19957399E+01
 0.63095734E+02 0.19470300E+01
 0.66069345E+02 0.18993491E+01
 0.69183097E+02 0.18526845E+01
 0.72443596E+02 0.18070228E+01
 0.75857758E+02 0.17623504E+01
 0.79432823E+02 0.17186535E+01
 0.83176377E+02 0.16759177E+01
 0.87096359E+02 0.16341289E+01
 0.91201084E+02 0.15932724E+01
 0.95499259E+02 0.15533335E+01
 0.10000000E+03 0.15142974E+01
 0.10471285E+03 0.14761492E+01
 0.10964782E+03 0.14388739E+01
 0.11481536E+03 0.14024563E+01
 0.12022644E+03 0.13668815E+01
 0.12589254E+03 0.13321342E+01
 0.13182567E+03 0.12981996E+01
 0.13803843E+03 0.12650624E+01
 0.14454398E+03 0.12327076E+01
 0.15135612E+03 0.12011205E+01
 0.15848932E+03 0.11702860E+01
 0.16595869E+03 0.11401894E+01
 0.17378008E+03 0.11108161E+01
 0.18197009E+03 0.10821515E+01
 0.19054607E+03 0.10541812E+01
 0.19952623E+03 0.10268909E+01
 0.20892961E+03 0.10002665E+01
 0.21877616E+03 0.97429403E+00
 0.22908677E+03 0.94895964E+00
 0.23988329E+03 0.92424969E+00
 0.25118864E+03 0.90015072E+00
 0.26302680E+03 0.87664942E+00
 0.27542287E+03 0.85373270E+00
 0.28840315E+03 0.83138763E+00
 0.30199517E+03 0.80960149E+00
 0.31622777E+03 0.78836174E+00
 0.33113112E+03 0.76765605E+00
 0.34673685E+03 0.74747229E+00
 0.36307805E+03 0.72779852E+00
 0.38018940E+03 0.70862301E+00
 0.39810717E+03 0.68993424E+00
 0.41686938E+03 0.67172088E+00
 0.43651583E+03 0.65397181E+00
 0.45708819E+03 0.63667612E+00
 0.47863009E+03 0.61982310E+00
 0.50118723E+03 0.60340225E+00
 0.52480746E+03 0.58740325E+00
 0.54954087E+03 0.57181601E+00
 0.57543994E+03 0.55663062E+00
 0.60255959E+03 0.54183738E+00
 0.63095734E+03 0.52742678E+00
 0.66069345E+03 0.51338951E+00
 0.69183097E+03 0.49971645E+00
 0.72443596E+03 0.48639867E+00
 0.75857758E+03 0.47342744E+00
 0.79432823E+03 0.46079420E+00
 0.83176377E+03 0.44849059E+00
 0.87096359E+03 0.43650842E+00
 0.91201084E+03 0.42483968E+00
 0.95499259E+03 0.41347656E+00
 0.10000000E+04 0.40241139E+00
