#......tp...... ...t_diff....
 0.10000000E-01 0.70318632E+01
 0.10471285E-01 0.70294049E+01
 0.10964782E-01 0.70267167E+01
 0.11481536E-01 0.70237964E+01
 0.12022644E-01 0.70206420E+01
 0.12589254E-01 0.70172514E+01
 0.13182567E-01 0.70136227E+01
 0.13803843E-01 0.70097540E+01
 0.14454398E-01 0.70056437E+01
 0.15135612E-01 0.70012900E+01
 0.15848932E-01 0.69966914E+01
 0.16595869E-01 0.69918466E+01
 0.17378008E-01 0.69867542E+01
 0.18197009E-01 0.69814131E+01
 0.19054607E-01 0.69758224E+01
 0.19952623E-01 0.69699810E+01
 0.20892961E-01 0.69638884E+01
 0.21877616E-01 0.69575439E+01
 0.22908677E-01 0.69509473E+01
 0.23988329E-01 0.69440982E+01
 0.25118864E-01 0.69369968E+01
 0.26302680E-01 0.69296433E+01
 0.27542287E-01 0.69220379E+01
 0.28840315E-01 0.69141814E+01
 0.30199517E-01 0.69060746E+01
 0.31622777E-01 0.68977186E+01
 0.33113112E-01 0.68891146E+01
 0.34673685E-01 0.68802643E+01
 0.36307805E-01 0.68711694E+01
 0.38018940E-01 0.68618321E+01
 0.39810717E-01 0.68522547E+01
 0.41686938E-01 0.68424399E+01
 0.43651583E-01 0.68323905E+01
 0.45708819E-01 0.68221098E+01
 0.47863009E-01 0.68116014E+01
 0.50118723E-01 0.68008690E+01
 0.52480746E-01 0.67899169E+01
 0.54954087E-01 0.67787494E+01
 0.57543994E-01 0.67673715E+01
 0.60255959E-01 0.67557881E+01
 0.63095734E-01 0.67440047E+01
 0.66069345E-01 0.67320271E+01
 0.69183097E-01 0.67198615E+01
 0.72443596E-01 0.67075142E+01
 0.75857758E-01 0.66949920E+01
 0.79432823E-01 0.66823019E+01
 0.83176377E-01 0.66694515E+01
 0.87096359E-01 0.66564483E+01
 0.91201084E-01 0.66433005E+01
 0.95499259E-01 0.66300162E+01
 0.10000000E+00 0.66166041E+01
 0.10471285E+00 0.66030731E+01
 0.10964782E+00 0.65894322E+01
 0.11481536E+00 0.65756907E+01
 0.12022644E+00 0.65618581E+01
 0.12589254E+00 0.65479443E+01
 0.13182567E+00 0.65339589E+01
 0.13803843E+00 0.65199120E+01
 0.14454398E+00 0.65058137E+01
 0.15135612E+00 0.64916740E+01
 0.15848932E+00 0.64775031E+01
 0.16595869E+00 0.64633111E+01
 0.17378008E+00 0.64491080E+01
 0.18197009E+00 0.64349037E+01
 0.19054607E+00 0.64207079E+01
 0.19952623E+00 0.64065301E+01
 0.20892961E+00 0.63923795E+01
 0.21877616E+00 0.63782648E+01
 0.22908677E+00 0.63641946E+01
 0.23988329E+00 0.63501767E+01
 0.25118864E+00 0.63362184E+01
 0.26302680E+00 0.63223266E+01
 0.27542287E+00 0.63085072E+01
 0.28840315E+00 0.62947655E+01
 0.30199517E+00 0.62811057E+01
 0.31622777E+00 0.62675315E+01
 0.33113112E+00 0.62540451E+01
 0.34673685E+00 0.62406479E+01
 0.36307805E+00 0.62273401E+01
 0.38018940E+00 0.62141204E+01
 0.39810717E+00 0.62009865E+01
 0.41686938E+00 0.61879344E+01
 0.43651583E+00 0.61749588E+01
 0.45708819E+00 0.61620529E+01
 0.47863009E+00 0.61492081E+01
 0.50118723E+00 0.61364143E+01
 0.52480746E+00 0.61236595E+01
 0.54954087E+00 0.61109302E+01
 0.57543994E+00 0.60982108E+01
 0.60255959E+00 0.60854842E+01
 0.63095734E+00 0.60727312E+01
 0.66069345E+00 0.60599308E+01
 0.69183097E+00 0.60470603E+01
 0.72443596E+00 0.60340949E+01
 0.75857758E+00 0.60210083E+01
 0.79432823E+00 0.60077721E+01
 0.83176377E+00 0.59943564E+01
 0.87096359E+00 0.59807296E+01
 0.91201084E+00 0.59668585E+01
 0.95499259E+00 0.59527083E+01
 0.10000000E+01 0.59382430E+01
 0.10471285E+01 0.59234251E+01
 0.10964782E+01 0.59082161E+01
 0.11481536E+01 0.58925765E+01
 0.12022644E+01 0.58764658E+01
 0.12589254E+01 0.58598429E+01
 0.13182567E+01 0.58426663E+01
 0.13803843E+01 0.58248939E+01
 0.14454398E+01 0.58064835E+01
 0.15135612E+01 0.57873932E+01
 0.15848932E+01 0.57675812E+01
 0.16595869E+01 0.57470060E+01
 0.17378008E+01 0.57256270E+01
 0.18197009E+01 0.57034045E+01
 0.19054607E+01 0.56802998E+01
 0.19952623E+01 0.56562757E+01
 0.20892961E+01 0.56312962E+01
 0.21877616E+01 0.56053275E+01
 0.22908677E+01 0.55783374E+01
 0.23988329E+01 0.55502960E+01
 0.25118864E+01 0.55211759E+01
 0.26302680E+01 0.54909519E+01
 0.27542287E+01 0.54596018E+01
 0.28840315E+01 0.54271059E+01
 0.30199517E+01 0.53934478E+01
 0.31622777E+01 0.53586141E+01
 0.33113112E+01 0.53225945E+01
 0.34673685E+01 0.52853822E+01
 0.36307805E+01 0.52469736E+01
 0.38018940E+01 0.52073686E+01
 0.39810717E+01 0.51665706E+01
 0.41686938E+01 0.51245863E+01
 0.43651583E+01 0.50814263E+01
 0.45708819E+01 0.50371041E+01
 0.47863009E+01 0.49916369E+01
 0.50118723E+01 0.49450454E+01
 0.52480746E+01 0.48973532E+01
 0.54954087E+01 0.48485873E+01
 0.57543994E+01 0.47987777E+01
 0.60255959E+01 0.47479573E+01
 0.63095734E+01 0.46961618E+01
 0.66069345E+01 0.46434294E+01
 0.69183097E+01 0.45898009E+01
 0.72443596E+01 0.45353194E+01
 0.75857758E+01 0.44800298E+01
 0.79432823E+01 0.44239790E+01
