#......tp...... ...t_diff....
 0.10000000E-01 0.19866256E+02
 0.10471285E-01 0.20083229E+02
 0.10964782E-01 0.20298589E+02
 0.11481536E-01 0.20512077E+02
 0.12022644E-01 0.20723435E+02
 0.12589254E-01 0.20932406E+02
 0.13182567E-01 0.21138732E+02
 0.13803843E-01 0.21342157E+02
 0.14454398E-01 0.21542421E+02
 0.15135612E-01 0.21739287E+02
 0.15848932E-01 0.21932502E+02
 0.16595869E-01 0.22121824E+02
 0.17378008E-01 0.22307017E+02
 0.18197009E-01 0.22487851E+02
 0.19054607E-01 0.22664103E+02
 0.19952623E-01 0.22835559E+02
 0.20892961E-01 0.23002011E+02
 0.21877616E-01 0.23163264E+02
 0.22908677E-01 0.23319128E+02
 0.23988329E-01 0.23469429E+02
 0.25118864E-01 0.23613999E+02
 0.26302680E-01 0.23752684E+02
 0.27542287E-01 0.23885342E+02
 0.28840315E-01 0.24011843E+02
 0.30199517E-01 0.24132070E+02
 0.31622777E-01 0.24245918E+02
 0.33113112E-01 0.24353296E+02
 0.34673685E-01 0.24454128E+02
 0.36307805E-01 0.24548350E+02
 0.38018940E-01 0.24635912E+02
 0.39810717E-01 0.24716779E+02
 0.41686938E-01 0.24790927E+02
 0.43651583E-01 0.24858350E+02
 0.45708819E-01 0.24919052E+02
 0.47863009E-01 0.24973053E+02
 0.50118723E-01 0.25020385E+02
 0.52480746E-01 0.25061094E+02
 0.54954087E-01 0.25095238E+02
 0.57543994E-01 0.25122890E+02
 0.60255959E-01 0.25144132E+02
 0.63095734E-01 0.25159060E+02
 0.66069345E-01 0.25167781E+02
 0.69183097E-01 0.25170414E+02
 0.72443596E-01 0.25166221E+02
 0.75857758E-01 0.25157090E+02
 0.79432823E-01 0.25142288E+02
 0.83176377E-01 0.25121970E+02
 0.87096359E-01 0.25096305E+02
 0.91201084E-01 0.25065468E+02
 0.95499259E-01 0.25029640E+02
 0.10000000E+00 0.24989013E+02
 0.10471285E+00 0.24943781E+02
 0.10964782E+00 0.24894147E+02
 0.11481536E+00 0.24840318E+02
 0.12022644E+00 0.24782507E+02
 0.12589254E+00 0.24720931E+02
 0.13182567E+00 0.24655809E+02
 0.13803843E+00 0.24587365E+02
 0.14454398E+00 0.24515824E+02
 0.15135612E+00 0.24441415E+02
 0.15848932E+00 0.24364366E+02
 0.16595869E+00 0.24284908E+02
 0.17378008E+00 0.24203270E+02
 0.18197009E+00 0.24119683E+02
 0.19054607E+00 0.24034376E+02
 0.19952623E+00 0.23947577E+02
 0.20892961E+00 0.23859511E+02
 0.21877616E+00 0.23770404E+02
 0.22908677E+00 0.23680475E+02
 0.23988329E+00 0.23589943E+02
 0.25118864E+00 0.23499021E+02
 0.26302680E+00 0.23407920E+02
 0.27542287E+00 0.23316845E+02
 0.28840315E+00 0.23225996E+02
 0.30199517E+00 0.23135567E+02
 0.31622777E+00 0.23045749E+02
 0.33113112E+00 0.22956723E+02
 0.34673685E+00 0.22868667E+02
 0.36307805E+00 0.22781750E+02
 0.38018940E+00 0.22696134E+02
 0.39810717E+00 0.22611975E+02
 0.41686938E+00 0.22529420E+02
 0.43651583E+00 0.22434344E+02
 0.45708819E+00 0.22271885E+02
 0.47863009E+00 0.22107171E+02
 0.50118723E+00 0.21940465E+02
 0.52480746E+00 0.21772015E+02
 0.54954087E+00 0.21602054E+02
 0.57543994E+00 0.21430797E+02
 0.60255959E+00 0.21258447E+02
 0.63095734E+00 0.21085190E+02
 0.66069345E+00 0.20911198E+02
 0.69183097E+00 0.20736625E+02
 0.72443596E+00 0.20561614E+02
 0.75857758E+00 0.20386292E+02
 0.79432823E+00 0.20210771E+02
 0.83176377E+00 0.20035152E+02
 0.87096359E+00 0.19859522E+02
 0.91201084E+00 0.19683956E+02
 0.95499259E+00 0.19508517E+02
 0.10000000E+01 0.19333257E+02
 0.10471285E+01 0.19158219E+02
 0.10964782E+01 0.18983435E+02
 0.11481536E+01 0.18808930E+02
 0.12022644E+01 0.18634718E+02
 0.12589254E+01 0.18460810E+02
 0.13182567E+01 0.18287207E+02
 0.13803843E+01 0.18113907E+02
 0.14454398E+01 0.17940900E+02
 0.15135612E+01 0.17768176E+02
 0.15848932E+01 0.17595719E+02
 0.16595869E+01 0.17423510E+02
 0.17378008E+01 0.17251530E+02
 0.18197009E+01 0.17079756E+02
 0.19054607E+01 0.16908168E+02
 0.19952623E+01 0.16736742E+02
 0.20892961E+01 0.16565458E+02
 0.21877616E+01 0.16394294E+02
 0.22908677E+01 0.16223231E+02
 0.23988329E+01 0.16052253E+02
 0.25118864E+01 0.15881343E+02
 0.26302680E+01 0.15710488E+02
 0.27542287E+01 0.15539680E+02
 0.28840315E+01 0.15368912E+02
 0.30199517E+01 0.15198179E+02
 0.31622777E+01 0.15027482E+02
 0.33113112E+01 0.14856824E+02
 0.34673685E+01 0.14686211E+02
 0.36307805E+01 0.14515654E+02
 0.38018940E+01 0.14345167E+02
 0.39810717E+01 0.14174766E+02
 0.41686938E+01 0.14004473E+02
 0.43651583E+01 0.13834310E+02
 0.45708819E+01 0.13664172E+02
 0.47863009E+01 0.13494356E+02
 0.50118723E+01 0.13324761E+02
 0.52480746E+01 0.13155420E+02
 0.54954087E+01 0.12986370E+02
 0.57543994E+01 0.12817652E+02
 0.60255959E+01 0.12649306E+02
 0.63095734E+01 0.12481375E+02
 0.66069345E+01 0.12313904E+02
 0.69183097E+01 0.12146937E+02
 0.72443596E+01 0.11980522E+02
 0.75857758E+01 0.11814704E+02
 0.79432823E+01 0.11649533E+02
 0.83176377E+01 0.11485054E+02
 0.87096359E+01 0.11321317E+02
 0.91201084E+01 0.11158369E+02
 0.95499259E+01 0.10996257E+02
 0.10000000E+02 0.10835029E+02
 0.10471285E+02 0.10674729E+02
 0.10964782E+02 0.10515404E+02
 0.11481536E+02 0.10357098E+02
 0.12022644E+02 0.10199854E+02
 0.12589254E+02 0.10043715E+02
 0.13182567E+02 0.98887207E+01
 0.13803843E+02 0.97349110E+01
 0.14454398E+02 0.95823237E+01
 0.15135612E+02 0.94309950E+01
 0.15848932E+02 0.92809599E+01
 0.16595869E+02 0.91322512E+01
 0.17378008E+02 0.89849005E+01
 0.18197009E+02 0.88389373E+01
 0.19054607E+02 0.86943896E+01
 0.19952623E+02 0.85512835E+01
 0.20892961E+02 0.84096434E+01
 0.21877616E+02 0.82694920E+01
 0.22908677E+02 0.81308502E+01
 0.23988329E+02 0.79937370E+01
 0.25118864E+02 0.78581701E+01
 0.26302680E+02 0.77241651E+01
 0.27542287E+02 0.75917362E+01
 0.28840315E+02 0.74608959E+01
 0.30199517E+02 0.73316550E+01
 0.31622777E+02 0.72040230E+01
 0.33113112E+02 0.70780077E+01
 0.34673685E+02 0.69536154E+01
 0.36307805E+02 0.68308513E+01
 0.38018940E+02 0.67097189E+01
 0.39810717E+02 0.65902205E+01
 0.41686938E+02 0.64723571E+01
 0.43651583E+02 0.63561285E+01
 0.45708819E+02 0.62415335E+01
 0.47863009E+02 0.61285695E+01
 0.50118723E+02 0.60172330E+01
 0.52480746E+02 0.59075193E+01
 0.54954087E+02 0.57994231E+01
 0.57543994E+02 0.56929377E+01
 0.60255959E+02 0.55880559E+01
 0.63095734E+02 0.54847696E+01
 0.66069345E+02 0.53830696E+01
 0.69183097E+02 0.52829465E+01
 0.72443596E+02 0.51843897E+01
 0.75857758E+02 0.50873883E+01
