#......tp...... ...t_diff....
 0.10000000E-01 0.53068464E+01
 0.10471285E-01 0.53023963E+01
 0.10964782E-01 0.52944843E+01
 0.11481536E-01 0.52910021E+01
 0.12022644E-01 0.52879767E+01
 0.12589254E-01 0.52854028E+01
 0.13182567E-01 0.52832752E+01
 0.13803843E-01 0.52815889E+01
 0.14454398E-01 0.52803393E+01
 0.15135612E-01 0.52831837E+01
 0.15848932E-01 0.52827555E+01
 0.16595869E-01 0.52827511E+01
 0.17378008E-01 0.52831669E+01
 0.18197009E-01 0.52843026E+01
 0.19054607E-01 0.52855451E+01
 0.19952623E-01 0.52871984E+01
 0.20892961E-01 0.52892601E+01
 0.21877616E-01 0.52917410E+01
 0.22908677E-01 0.52946137E+01
 0.23988329E-01 0.52978897E+01
 0.25118864E-01 0.53015680E+01
 0.26302680E-01 0.53056482E+01
 0.27542287E-01 0.53101301E+01
 0.28840315E-01 0.53150140E+01
 0.30199517E-01 0.53203007E+01
 0.31622777E-01 0.53259913E+01
 0.33113112E-01 0.53320873E+01
 0.34673685E-01 0.53385909E+01
 0.36307805E-01 0.53455043E+01
 0.38018940E-01 0.53528306E+01
 0.39810717E-01 0.53605730E+01
 0.41686938E-01 0.53687351E+01
 0.43651583E-01 0.53773209E+01
 0.45708819E-01 0.53863350E+01
 0.47863009E-01 0.53957819E+01
 0.50118723E-01 0.54056669E+01
 0.52480746E-01 0.54159951E+01
 0.54954087E-01 0.54267720E+01
 0.57543994E-01 0.54380035E+01
 0.60255959E-01 0.54496953E+01
 0.63095734E-01 0.54618534E+01
 0.66069345E-01 0.54744836E+01
 0.69183097E-01 0.54875919E+01
 0.72443596E-01 0.55011839E+01
 0.75857758E-01 0.55168203E+01
 0.79432823E-01 0.55313757E+01
 0.83176377E-01 0.55464307E+01
 0.87096359E-01 0.55619898E+01
 0.91201084E-01 0.55780569E+01
 0.95499259E-01 0.55946351E+01
 0.10000000E+00 0.56117271E+01
 0.10471285E+00 0.56293344E+01
 0.10964782E+00 0.56474578E+01
 0.11481536E+00 0.56660973E+01
 0.12022644E+00 0.56852515E+01
 0.12589254E+00 0.57049179E+01
 0.13182567E+00 0.57250930E+01
 0.13803843E+00 0.57457714E+01
 0.14454398E+00 0.57669476E+01
 0.15135612E+00 0.57886131E+01
 0.15848932E+00 0.58107601E+01
 0.16595869E+00 0.58333777E+01
 0.17378008E+00 0.58564540E+01
 0.18197009E+00 0.58799758E+01
 0.19054607E+00 0.59039286E+01
 0.19952623E+00 0.59282966E+01
 0.20892961E+00 0.59530624E+01
 0.21877616E+00 0.59782078E+01
 0.22908677E+00 0.60037138E+01
 0.23988329E+00 0.60295587E+01
 0.25118864E+00 0.60557214E+01
 0.26302680E+00 0.60821797E+01
 0.27542287E+00 0.61089104E+01
 0.28840315E+00 0.61358896E+01
 0.30199517E+00 0.61630932E+01
 0.31622777E+00 0.61904965E+01
 0.33113112E+00 0.62180747E+01
 0.34673685E+00 0.62458027E+01
 0.36307805E+00 0.62736555E+01
 0.38018940E+00 0.63016082E+01
 0.39810717E+00 0.63296361E+01
 0.41686938E+00 0.63577150E+01
 0.43651583E+00 0.63923960E+01
 0.45708819E+00 0.64632084E+01
 0.47863009E+00 0.65358481E+01
 0.50118723E+00 0.66101927E+01
 0.52480746E+00 0.66861080E+01
 0.54954087E+00 0.67634500E+01
 0.57543994E+00 0.68420653E+01
 0.60255959E+00 0.69217923E+01
 0.63095734E+00 0.70024622E+01
 0.66069345E+00 0.70839008E+01
 0.69183097E+00 0.71659286E+01
 0.72443596E+00 0.72483628E+01
 0.75857758E+00 0.73310180E+01
 0.79432823E+00 0.74137071E+01
 0.83176377E+00 0.74962419E+01
 0.87096359E+00 0.75784348E+01
 0.91201084E+00 0.76600985E+01
 0.95499259E+00 0.77410473E+01
 0.10000000E+01 0.78211002E+01
 0.10471285E+01 0.79000699E+01
 0.10964782E+01 0.79782357E+01
 0.11481536E+01 0.80545000E+01
 0.12022644E+01 0.81291571E+01
 0.12589254E+01 0.82020379E+01
 0.13182567E+01 0.82729773E+01
 0.13803843E+01 0.83418134E+01
 0.14454398E+01 0.84083889E+01
 0.15135612E+01 0.84725500E+01
 0.15848932E+01 0.85341472E+01
 0.16595869E+01 0.85930355E+01
 0.17378008E+01 0.86490739E+01
 0.18197009E+01 0.87021261E+01
 0.19054607E+01 0.87520607E+01
 0.19952623E+01 0.87987510E+01
 0.20892961E+01 0.88420753E+01
 0.21877616E+01 0.88819175E+01
 0.22908677E+01 0.89181671E+01
 0.23988329E+01 0.89507194E+01
 0.25118864E+01 0.89794790E+01
 0.26302680E+01 0.90043480E+01
 0.27542287E+01 0.90252443E+01
 0.28840315E+01 0.90420904E+01
 0.30199517E+01 0.90548159E+01
 0.31622777E+01 0.90633587E+01
 0.33113112E+01 0.90676647E+01
 0.34673685E+01 0.90676857E+01
 0.36307805E+01 0.90633905E+01
 0.38018940E+01 0.90547487E+01
 0.39810717E+01 0.90417423E+01
 0.41686938E+01 0.90243623E+01
 0.43651583E+01 0.90026099E+01
 0.45708819E+01 0.89764958E+01
 0.47863009E+01 0.89460404E+01
 0.50118723E+01 0.89112742E+01
 0.52480746E+01 0.88722375E+01
 0.54954087E+01 0.88289800E+01
 0.57543994E+01 0.87815613E+01
 0.60255959E+01 0.87300502E+01
 0.63095734E+01 0.86745244E+01
 0.66069345E+01 0.86150706E+01
 0.69183097E+01 0.85517838E+01
 0.72443596E+01 0.84847673E+01
 0.75857758E+01 0.84141316E+01
 0.79432823E+01 0.83399945E+01
 0.83176377E+01 0.82624804E+01
 0.87096359E+01 0.81817198E+01
 0.91201084E+01 0.80978487E+01
 0.95499259E+01 0.80110080E+01
 0.10000000E+02 0.79213430E+01
 0.10471285E+02 0.78290027E+01
 0.10964782E+02 0.77341393E+01
 0.11481536E+02 0.76369073E+01
 0.12022644E+02 0.75374636E+01
 0.12589254E+02 0.74359660E+01
 0.13182567E+02 0.73325733E+01
 0.13803843E+02 0.72274445E+01
 0.14454398E+02 0.71207381E+01
 0.15135612E+02 0.70126119E+01
 0.15848932E+02 0.69032223E+01
 0.16595869E+02 0.67927238E+01
 0.17378008E+02 0.66812688E+01
 0.18197009E+02 0.65690069E+01
 0.19054607E+02 0.64560846E+01
 0.19952623E+02 0.63426451E+01
 0.20892961E+02 0.62288279E+01
 0.21877616E+02 0.61147684E+01
 0.22908677E+02 0.60005978E+01
 0.23988329E+02 0.58864427E+01
 0.25118864E+02 0.57724253E+01
 0.26302680E+02 0.56586628E+01
 0.27542287E+02 0.55452675E+01
 0.28840315E+02 0.54323466E+01
 0.30199517E+02 0.53200023E+01
 0.31622777E+02 0.52083315E+01
 0.33113112E+02 0.50974261E+01
 0.34673685E+02 0.49873726E+01
 0.36307805E+02 0.48782524E+01
 0.38018940E+02 0.47701419E+01
 0.39810717E+02 0.46631123E+01
 0.41686938E+02 0.45572298E+01
 0.43651583E+02 0.44525558E+01
 0.45708819E+02 0.43491468E+01
 0.47863009E+02 0.42470547E+01
 0.50118723E+02 0.41463267E+01
 0.52480746E+02 0.40470058E+01
 0.54954087E+02 0.39491303E+01
 0.57543994E+02 0.38527348E+01
 0.60255959E+02 0.37578497E+01
 0.63095734E+02 0.36645014E+01
 0.66069345E+02 0.35727130E+01
 0.69183097E+02 0.34825036E+01
 0.72443596E+02 0.33938894E+01
 0.75857758E+02 0.33068831E+01
 0.79432823E+02 0.32214944E+01
 0.83176377E+02 0.31377302E+01
 0.87096359E+02 0.30555946E+01
 0.91201084E+02 0.29749931E+01
 0.95499259E+02 0.28961199E+01
 0.10000000E+03 0.28188727E+01
 0.10471285E+03 0.27432462E+01
 0.10964782E+03 0.26692331E+01
