#......tp...... ...t_diff....
 0.10000000E-01 0.68662722E+01
 0.10471285E-01 0.67837011E+01
 0.10964782E-01 0.67032702E+01
 0.11481536E-01 0.66250106E+01
 0.12022644E-01 0.65489483E+01
 0.12589254E-01 0.64751051E+01
 0.13182567E-01 0.64034981E+01
 0.13803843E-01 0.63341400E+01
 0.14454398E-01 0.62670395E+01
 0.15135612E-01 0.62022010E+01
 0.15848932E-01 0.61396253E+01
 0.16595869E-01 0.60793092E+01
 0.17378008E-01 0.60212462E+01
 0.18197009E-01 0.59654264E+01
 0.19054607E-01 0.59118367E+01
 0.19952623E-01 0.58604611E+01
 0.20892961E-01 0.58112809E+01
 0.21877616E-01 0.57642747E+01
 0.22908677E-01 0.57194189E+01
 0.23988329E-01 0.56766876E+01
 0.25118864E-01 0.56360530E+01
 0.26302680E-01 0.55974857E+01
 0.27542287E-01 0.55609546E+01
 0.28840315E-01 0.55264273E+01
 0.30199517E-01 0.54938701E+01
 0.31622777E-01 0.54632488E+01
 0.33113112E-01 0.54345279E+01
 0.34673685E-01 0.54076718E+01
 0.36307805E-01 0.53826442E+01
 0.38018940E-01 0.53594090E+01
 0.39810717E-01 0.53379298E+01
 0.41686938E-01 0.53181707E+01
 0.43651583E-01 0.53000962E+01
 0.45708819E-01 0.52836705E+01
 0.47863009E-01 0.52688603E+01
 0.50118723E-01 0.52556322E+01
 0.52480746E-01 0.52439540E+01
 0.54954087E-01 0.52337951E+01
 0.57543994E-01 0.52212742E+01
 0.60255959E-01 0.52141321E+01
 0.63095734E-01 0.52084277E+01
 0.66069345E-01 0.52041378E+01
 0.69183097E-01 0.52048388E+01
 0.72443596E-01 0.52032540E+01
 0.75857758E-01 0.52030290E+01
 0.79432823E-01 0.52044464E+01
 0.83176377E-01 0.52069008E+01
 0.87096359E-01 0.52107001E+01
 0.91201084E-01 0.52158164E+01
 0.95499259E-01 0.52222637E+01
 0.10000000E+00 0.52300474E+01
 0.10471285E+00 0.52391769E+01
 0.10964782E+00 0.52496660E+01
 0.11481536E+00 0.52615328E+01
 0.12022644E+00 0.52747998E+01
 0.12589254E+00 0.52894941E+01
 0.13182567E+00 0.53056476E+01
 0.13803843E+00 0.53232963E+01
 0.14454398E+00 0.53424809E+01
 0.15135612E+00 0.53632463E+01
