#......tp...... ...t_diff....
 0.10000000E-01 0.81546982E+01
 0.10471285E-01 0.80876453E+01
 0.10964782E-01 0.80208944E+01
 0.11481536E-01 0.79544723E+01
 0.12022644E-01 0.78884052E+01
 0.12589254E-01 0.78227186E+01
 0.13182567E-01 0.77574377E+01
 0.13803843E-01 0.76925867E+01
 0.14454398E-01 0.76281896E+01
 0.15135612E-01 0.75642693E+01
 0.15848932E-01 0.75008483E+01
 0.16595869E-01 0.74379485E+01
 0.17378008E-01 0.73755910E+01
 0.18197009E-01 0.73137960E+01
 0.19054607E-01 0.72525833E+01
 0.19952623E-01 0.71919719E+01
 0.20892961E-01 0.71319800E+01
 0.21877616E-01 0.70726251E+01
 0.22908677E-01 0.70139240E+01
 0.23988329E-01 0.69558929E+01
 0.25118864E-01 0.68985470E+01
 0.26302680E-01 0.68419009E+01
 0.27542287E-01 0.67859687E+01
 0.28840315E-01 0.67307634E+01
 0.30199517E-01 0.66762973E+01
 0.31622777E-01 0.66225824E+01
 0.33113112E-01 0.65696297E+01
 0.34673685E-01 0.65174494E+01
 0.36307805E-01 0.64660513E+01
 0.38018940E-01 0.64154444E+01
 0.39810717E-01 0.63656369E+01
 0.41686938E-01 0.63166366E+01
 0.43651583E-01 0.62684504E+01
 0.45708819E-01 0.62210848E+01
 0.47863009E-01 0.61745455E+01
 0.50118723E-01 0.61288378E+01
 0.52480746E-01 0.60839662E+01
 0.54954087E-01 0.60399348E+01
 0.57543994E-01 0.59967470E+01
 0.60255959E-01 0.59544058E+01
 0.63095734E-01 0.59129136E+01
 0.66069345E-01 0.58722723E+01
 0.69183097E-01 0.58324833E+01
 0.72443596E-01 0.57935476E+01
 0.75857758E-01 0.57554656E+01
 0.79432823E-01 0.57182375E+01
 0.83176377E-01 0.56818628E+01
 0.87096359E-01 0.56463408E+01
 0.91201084E-01 0.56116703E+01
 0.95499259E-01 0.55778498E+01
 0.10000000E+00 0.55448773E+01
 0.10471285E+00 0.55127508E+01
 0.10964782E+00 0.54814675E+01
 0.11481536E+00 0.54510246E+01
 0.12022644E+00 0.54214189E+01
 0.12589254E+00 0.53926471E+01
 0.13182567E+00 0.53647052E+01
 0.13803843E+00 0.53375895E+01
 0.14454398E+00 0.53112955E+01
 0.15135612E+00 0.52858189E+01
 0.15848932E+00 0.52611549E+01
 0.16595869E+00 0.52372986E+01
 0.17378008E+00 0.52142448E+01
 0.18197009E+00 0.51919882E+01
 0.19054607E+00 0.51705231E+01
 0.19952623E+00 0.51498439E+01
 0.20892961E+00 0.51299445E+01
 0.21877616E+00 0.51108187E+01
 0.22908677E+00 0.50924603E+01
 0.23988329E+00 0.50748626E+01
 0.25118864E+00 0.50580188E+01
 0.26302680E+00 0.50419220E+01
 0.27542287E+00 0.50265651E+01
 0.28840315E+00 0.50119406E+01
 0.30199517E+00 0.49980409E+01
 0.31622777E+00 0.49848583E+01
 0.33113112E+00 0.49723845E+01
 0.34673685E+00 0.49606114E+01
 0.36307805E+00 0.49495304E+01
 0.38018940E+00 0.49391327E+01
 0.39810717E+00 0.49294091E+01
 0.41686938E+00 0.49203506E+01
 0.43651583E+00 0.49092347E+01
 0.45708819E+00 0.48868016E+01
 0.47863009E+00 0.48661964E+01
