# Radial profile for the n03 profile with adiabatic compression
# log(r/kpc)    log(rho/(GeV/cm^3))
 -.69077553E+01 0.13092628E+02
 -.68949941E+01 0.12922778E+02
 -.68822332E+01 0.12898767E+02
 -.68694720E+01 0.12874662E+02
 -.68567111E+01 0.12850274E+02
 -.68439500E+01 0.12826034E+02
 -.68311890E+01 0.12802171E+02
 -.68184279E+01 0.12778324E+02
 -.68056669E+01 0.12754354E+02
 -.67929058E+01 0.12730415E+02
 -.67801446E+01 0.12706555E+02
 -.67673837E+01 0.12682766E+02
 -.67546225E+01 0.12659022E+02
 -.67418616E+01 0.12635188E+02
 -.67291005E+01 0.12611312E+02
 -.67163395E+01 0.12587689E+02
 -.67035784E+01 0.12564263E+02
 -.66908175E+01 0.12540746E+02
 -.66780563E+01 0.12517170E+02
 -.66652951E+01 0.12493661E+02
 -.66525342E+01 0.12470226E+02
 -.66397731E+01 0.12446865E+02
 -.66270121E+01 0.12423489E+02
 -.66142510E+01 0.12399990E+02
 -.66014900E+01 0.12376592E+02
 -.65887289E+01 0.12353489E+02
 -.65759680E+01 0.12330448E+02
 -.65632068E+01 0.12307308E+02
 -.65504457E+01 0.12284121E+02
 -.65376847E+01 0.12260918E+02
 -.65249236E+01 0.12237780E+02
 -.65121626E+01 0.12214742E+02
 -.64994015E+01 0.12191851E+02
 -.64866406E+01 0.12169100E+02
 -.64738794E+01 0.12146332E+02
 -.64611185E+01 0.12123506E+02
 -.64483573E+01 0.12100575E+02
 -.64355962E+01 0.12077634E+02
 -.64228352E+01 0.12055044E+02
 -.64100741E+01 0.12032612E+02
 -.63973131E+01 0.12009719E+02
 -.63845520E+01 0.11986725E+02
 -.63717911E+01 0.11964407E+02
 -.63590299E+01 0.11942300E+02
 -.63462690E+01 0.11919691E+02
 -.63335078E+01 0.11897032E+02
 -.63207467E+01 0.11874798E+02
 -.63079857E+01 0.11852621E+02
 -.62952246E+01 0.11830213E+02
 -.62824637E+01 0.11807707E+02
 -.62697025E+01 0.11785194E+02
 -.62569416E+01 0.11763022E+02
 -.62441804E+01 0.11741290E+02
 -.62314195E+01 0.11719333E+02
 -.62186583E+01 0.11697003E+02
 -.62058972E+01 0.11674812E+02
 -.61931363E+01 0.11652846E+02
 -.61803751E+01 0.11630940E+02
 -.61676142E+01 0.11609030E+02
 -.61548530E+01 0.11586975E+02
 -.61420921E+01 0.11564881E+02
 -.61293309E+01 0.11543131E+02
 -.61165698E+01 0.11521593E+02
 -.61038088E+01 0.11499897E+02
 -.60910477E+01 0.11478120E+02
 -.60782868E+01 0.11456418E+02
 -.60655256E+01 0.11434796E+02
 -.60527647E+01 0.11413253E+02
 -.60400035E+01 0.11391649E+02
 -.60272426E+01 0.11369864E+02
 -.60144814E+01 0.11348237E+02
 -.60017203E+01 0.11326975E+02
 -.59889594E+01 0.11305745E+02
 -.59761982E+01 0.11284385E+02
 -.59634373E+01 0.11262888E+02
 -.59506761E+01 0.11241290E+02
 -.59379152E+01 0.11220037E+02
 -.59251540E+01 0.11199127E+02
 -.59123931E+01 0.11177748E+02
 -.58996319E+01 0.11155965E+02
 -.58868708E+01 0.11134866E+02
 -.58741099E+01 0.11114311E+02
